Algorithm,Run,Real Time,User Time,Sys Time
Avg Pooling,1,0m0.176s,0m0.180s,0m0.038s
Avg Pooling,2,0m0.176s,0m0.185s,0m0.032s
Avg Pooling,3,0m0.179s,0m0.170s,0m0.048s
Avg Pooling,4,0m0.180s,0m0.167s,0m0.048s
Avg Pooling,5,0m0.182s,0m0.185s,0m0.037s
Avg Pooling,6,0m0.161s,0m0.179s,0m0.029s
Avg Pooling,7,0m0.180s,0m0.186s,0m0.037s
Avg Pooling,8,0m0.179s,0m0.180s,0m0.042s
Avg Pooling,9,0m0.174s,0m0.176s,0m0.036s
Avg Pooling,10,0m0.183s,0m0.180s,0m0.042s
Avg Pooling,11,0m0.179s,0m0.175s,0m0.038s
Avg Pooling,12,0m0.179s,0m0.180s,0m0.034s
Avg Pooling,13,0m0.177s,0m0.189s,0m0.034s
Avg Pooling,14,0m0.182s,0m0.168s,0m0.050s
Avg Pooling,15,0m0.178s,0m0.155s,0m0.059s
Avg Pooling,16,0m0.183s,0m0.189s,0m0.035s
Avg Pooling,17,0m0.181s,0m0.183s,0m0.041s
Avg Pooling,18,0m0.166s,0m0.166s,0m0.046s
Avg Pooling,19,0m0.164s,0m0.184s,0m0.027s
Avg Pooling,20,0m0.180s,0m0.171s,0m0.052s
Avg Pooling,21,0m0.175s,0m0.188s,0m0.036s
Avg Pooling,22,0m0.179s,0m0.185s,0m0.029s
Avg Pooling,23,0m0.166s,0m0.178s,0m0.034s
Avg Pooling,24,0m0.179s,0m0.177s,0m0.038s
Avg Pooling,25,0m0.177s,0m0.168s,0m0.046s
Avg Pooling,26,0m0.182s,0m0.172s,0m0.042s
Avg Pooling,27,0m0.179s,0m0.177s,0m0.035s
Avg Pooling,28,0m0.181s,0m0.178s,0m0.045s
Avg Pooling,29,0m0.179s,0m0.195s,0m0.018s
Avg Pooling,30,0m0.179s,0m0.180s,0m0.042s
Avg Pooling,31,0m0.180s,0m0.198s,0m0.026s
Avg Pooling,32,0m0.178s,0m0.173s,0m0.045s
Avg Pooling,33,0m0.176s,0m0.163s,0m0.046s
Avg Pooling,34,0m0.177s,0m0.169s,0m0.041s
Avg Pooling,35,0m0.178s,0m0.182s,0m0.038s
Avg Pooling,36,0m0.181s,0m0.183s,0m0.036s
Avg Pooling,37,0m0.177s,0m0.160s,0m0.052s
Avg Pooling,38,0m0.181s,0m0.196s,0m0.020s
Avg Pooling,39,0m0.181s,0m0.185s,0m0.036s
Avg Pooling,40,0m0.163s,0m0.154s,0m0.042s
Avg Pooling,41,0m0.178s,0m0.170s,0m0.045s
Avg Pooling,42,0m0.176s,0m0.162s,0m0.051s
Avg Pooling,43,0m0.162s,0m0.158s,0m0.041s
Avg Pooling,44,0m0.180s,0m0.183s,0m0.039s
Avg Pooling,45,0m0.177s,0m0.167s,0m0.054s
Avg Pooling,46,0m0.185s,0m0.178s,0m0.042s
Avg Pooling,47,0m0.175s,0m0.189s,0m0.026s
Avg Pooling,48,0m0.184s,0m0.185s,0m0.030s
Avg Pooling,49,0m0.174s,0m0.183s,0m0.035s
Avg Pooling,50,0m0.173s,0m0.191s,0m0.030s
Avg Pooling,51,0m0.168s,0m0.167s,0m0.046s
Avg Pooling,52,0m0.178s,0m0.178s,0m0.041s
Avg Pooling,53,0m0.182s,0m0.182s,0m0.030s
Avg Pooling,54,0m0.161s,0m0.184s,0m0.025s
Avg Pooling,55,0m0.183s,0m0.197s,0m0.025s
Avg Pooling,56,0m0.179s,0m0.170s,0m0.043s
Avg Pooling,57,0m0.175s,0m0.168s,0m0.043s
Avg Pooling,58,0m0.183s,0m0.183s,0m0.029s
Avg Pooling,59,0m0.179s,0m0.181s,0m0.041s
Avg Pooling,60,0m0.184s,0m0.180s,0m0.035s
Avg Pooling,61,0m0.178s,0m0.184s,0m0.029s
Avg Pooling,62,0m0.184s,0m0.188s,0m0.037s
Avg Pooling,63,0m0.179s,0m0.182s,0m0.043s
Avg Pooling,64,0m0.179s,0m0.202s,0m0.021s
Avg Pooling,65,0m0.179s,0m0.175s,0m0.048s
Avg Pooling,66,0m0.181s,0m0.184s,0m0.039s
Avg Pooling,67,0m0.169s,0m0.194s,0m0.017s
Avg Pooling,68,0m0.190s,0m0.176s,0m0.045s
Avg Pooling,69,0m0.176s,0m0.174s,0m0.039s
Avg Pooling,70,0m0.180s,0m0.199s,0m0.022s
Avg Pooling,71,0m0.178s,0m0.177s,0m0.037s
Avg Pooling,72,0m0.178s,0m0.167s,0m0.048s
Avg Pooling,73,0m0.181s,0m0.184s,0m0.026s
Avg Pooling,74,0m0.180s,0m0.186s,0m0.029s
Avg Pooling,75,0m0.179s,0m0.177s,0m0.045s
Avg Pooling,76,0m0.167s,0m0.170s,0m0.038s
Avg Pooling,77,0m0.182s,0m0.185s,0m0.040s
Avg Pooling,78,0m0.178s,0m0.174s,0m0.049s
Avg Pooling,79,0m0.180s,0m0.164s,0m0.049s
Avg Pooling,80,0m0.165s,0m0.172s,0m0.038s
Avg Pooling,81,0m0.180s,0m0.175s,0m0.051s
Avg Pooling,82,0m0.183s,0m0.175s,0m0.038s
Avg Pooling,83,0m0.180s,0m0.179s,0m0.046s
Avg Pooling,84,0m0.179s,0m0.179s,0m0.037s
Avg Pooling,85,0m0.170s,0m0.168s,0m0.045s
Avg Pooling,86,0m0.178s,0m0.180s,0m0.034s
Avg Pooling,87,0m0.184s,0m0.188s,0m0.025s
Avg Pooling,88,0m0.178s,0m0.162s,0m0.056s
Avg Pooling,89,0m0.180s,0m0.179s,0m0.039s
Avg Pooling,90,0m0.180s,0m0.167s,0m0.043s
Avg Pooling,91,0m0.179s,0m0.198s,0m0.017s
Avg Pooling,92,0m0.182s,0m0.170s,0m0.044s
Avg Pooling,93,0m0.181s,0m0.197s,0m0.026s
Avg Pooling,94,0m0.179s,0m0.192s,0m0.033s
Avg Pooling,95,0m0.182s,0m0.153s,0m0.060s
Avg Pooling,96,0m0.182s,0m0.163s,0m0.051s
Avg Pooling,97,0m0.181s,0m0.178s,0m0.040s
Avg Pooling,98,0m0.179s,0m0.171s,0m0.053s
Avg Pooling,99,0m0.185s,0m0.175s,0m0.041s
Avg Pooling,100,0m0.179s,0m0.173s,0m0.042s
