Algorithm,Run,Real Time,User Time,Sys Time
Avg,1,0m20.119s,0m20.166s,0m0.064s
Avg,2,0m17.361s,0m17.350s,0m0.120s
Avg,3,0m21.417s,0m21.433s,0m0.092s
Avg,4,0m18.010s,0m18.014s,0m0.104s
Avg,5,0m19.177s,0m19.186s,0m0.100s
Avg,6,0m19.174s,0m19.190s,0m0.092s
Avg,7,0m18.850s,0m18.835s,0m0.124s
Avg,8,0m18.493s,0m18.475s,0m0.128s
Avg,9,0m19.152s,0m19.142s,0m0.120s
Avg,10,0m18.200s,0m18.205s,0m0.104s
Avg,11,0m20.198s,0m20.225s,0m0.084s
Avg,12,0m18.990s,0m18.935s,0m0.164s
Avg,13,0m17.967s,0m18.000s,0m0.076s
Avg,14,0m18.201s,0m18.213s,0m0.096s
Avg,15,0m17.972s,0m17.996s,0m0.084s
Avg,16,0m18.057s,0m18.061s,0m0.104s
Avg,17,0m18.753s,0m18.748s,0m0.116s
Avg,18,0m20.089s,0m20.059s,0m0.140s
Avg,19,0m18.201s,0m18.215s,0m0.096s
Avg,20,0m20.146s,0m20.119s,0m0.136s
Avg,21,0m18.050s,0m18.041s,0m0.112s
Avg,22,0m17.294s,0m17.275s,0m0.124s
Avg,23,0m18.310s,0m18.312s,0m0.108s
Avg,24,0m20.042s,0m20.039s,0m0.112s
Avg,25,0m17.255s,0m17.257s,0m0.108s
Avg,26,0m17.407s,0m17.413s,0m0.104s
Avg,27,0m18.181s,0m18.207s,0m0.080s
Avg,28,0m18.281s,0m18.265s,0m0.124s
Avg,29,0m17.456s,0m17.453s,0m0.112s
Avg,30,0m20.181s,0m20.203s,0m0.088s
Avg,31,0m17.923s,0m17.917s,0m0.116s
Avg,32,0m17.462s,0m17.471s,0m0.100s
Avg,33,0m18.122s,0m18.107s,0m0.124s
Avg,34,0m18.161s,0m18.175s,0m0.096s
Avg,35,0m17.427s,0m17.456s,0m0.080s
Avg,36,0m18.083s,0m18.071s,0m0.120s
Avg,37,0m17.962s,0m17.963s,0m0.108s
Avg,38,0m20.602s,0m20.630s,0m0.080s
Avg,39,0m19.599s,0m19.624s,0m0.084s
Avg,40,0m18.576s,0m18.598s,0m0.088s
Avg,41,0m18.854s,0m18.852s,0m0.112s
Avg,42,0m18.185s,0m18.207s,0m0.088s
Avg,43,0m19.429s,0m19.431s,0m0.108s
Avg,44,0m21.926s,0m21.935s,0m0.100s
Avg,45,0m19.123s,0m19.107s,0m0.125s
Avg,46,0m17.534s,0m17.536s,0m0.108s
Avg,47,0m19.409s,0m19.422s,0m0.096s
Avg,48,0m19.513s,0m19.515s,0m0.108s
Avg,49,0m18.791s,0m18.796s,0m0.104s
Avg,50,0m18.975s,0m18.990s,0m0.088s
Avg,51,0m19.682s,0m19.678s,0m0.112s
Avg,52,0m18.062s,0m18.056s,0m0.116s
Avg,53,0m18.001s,0m18.019s,0m0.092s
Avg,54,0m18.990s,0m18.960s,0m0.140s
Avg,55,0m17.521s,0m17.507s,0m0.124s
Avg,56,0m19.560s,0m19.564s,0m0.104s
Avg,57,0m17.509s,0m17.510s,0m0.108s
Avg,58,0m18.866s,0m18.867s,0m0.108s
Avg,59,0m18.337s,0m18.301s,0m0.140s
Avg,60,0m17.920s,0m17.893s,0m0.136s
Avg,61,0m18.374s,0m18.392s,0m0.092s
Avg,62,0m18.509s,0m18.535s,0m0.084s
Avg,63,0m17.358s,0m17.371s,0m0.096s
Avg,64,0m17.725s,0m17.752s,0m0.084s
Avg,65,0m18.572s,0m18.586s,0m0.096s
Avg,66,0m18.951s,0m18.944s,0m0.116s
Avg,67,0m17.848s,0m17.877s,0m0.080s
Avg,68,0m17.835s,0m17.847s,0m0.096s
Avg,69,0m18.534s,0m18.538s,0m0.104s
Avg,70,0m19.320s,0m19.279s,0m0.152s
Avg,71,0m18.137s,0m18.163s,0m0.084s
Avg,72,0m18.904s,0m18.925s,0m0.088s
Avg,73,0m18.415s,0m18.400s,0m0.124s
Avg,74,0m18.811s,0m18.801s,0m0.120s
Avg,75,0m18.235s,0m18.218s,0m0.128s
Avg,76,0m17.761s,0m17.767s,0m0.104s
Avg,77,0m17.705s,0m17.691s,0m0.124s
Avg,78,0m20.687s,0m20.707s,0m0.088s
Avg,79,0m19.127s,0m19.103s,0m0.132s
Avg,80,0m21.521s,0m21.511s,0m0.116s
Avg,81,0m18.455s,0m18.437s,0m0.128s
Avg,82,0m21.018s,0m21.034s,0m0.092s
Avg,83,0m19.655s,0m19.671s,0m0.092s
Avg,84,0m17.968s,0m17.978s,0m0.100s
Avg,85,0m18.092s,0m18.103s,0m0.100s
Avg,86,0m17.877s,0m17.866s,0m0.120s
Avg,87,0m20.816s,0m20.823s,0m0.100s
Avg,88,0m17.846s,0m17.812s,0m0.144s
Avg,89,0m21.144s,0m21.140s,0m0.113s
Avg,90,0m19.474s,0m19.476s,0m0.108s
Avg,91,0m22.011s,0m21.988s,0m0.132s
Avg,92,0m19.999s,0m19.980s,0m0.128s
Avg,93,0m18.207s,0m18.191s,0m0.124s
Avg,94,0m19.011s,0m19.038s,0m0.076s
Avg,95,0m19.155s,0m19.143s,0m0.120s
Avg,96,0m22.081s,0m22.089s,0m0.100s
Avg,97,0m17.855s,0m17.864s,0m0.096s
Avg,98,0m17.565s,0m17.555s,0m0.120s
Avg,99,0m18.156s,0m18.182s,0m0.084s
Avg,100,0m18.409s,0m18.412s,0m0.108s
