Algorithm,Run,Real Time,User Time,Sys Time
Binary Search,1,0m0.293s,0m0.366s,0m0.083s
Binary Search,2,0m0.297s,0m0.411s,0m0.046s
Binary Search,3,0m0.300s,0m0.407s,0m0.058s
Binary Search,4,0m0.298s,0m0.386s,0m0.063s
Binary Search,5,0m0.312s,0m0.404s,0m0.071s
Binary Search,6,0m0.292s,0m0.387s,0m0.058s
Binary Search,7,0m0.313s,0m0.408s,0m0.057s
Binary Search,8,0m0.311s,0m0.414s,0m0.051s
Binary Search,9,0m0.287s,0m0.375s,0m0.073s
Binary Search,10,0m0.289s,0m0.388s,0m0.061s
Binary Search,11,0m0.293s,0m0.382s,0m0.067s
Binary Search,12,0m0.297s,0m0.384s,0m0.070s
Binary Search,13,0m0.286s,0m0.381s,0m0.057s
Binary Search,14,0m0.304s,0m0.389s,0m0.059s
Binary Search,15,0m0.290s,0m0.438s,0m0.025s
Binary Search,16,0m0.294s,0m0.404s,0m0.067s
Binary Search,17,0m0.301s,0m0.414s,0m0.048s
Binary Search,18,0m0.295s,0m0.402s,0m0.043s
Binary Search,19,0m0.301s,0m0.379s,0m0.073s
Binary Search,20,0m0.296s,0m0.403s,0m0.047s
Binary Search,21,0m0.288s,0m0.368s,0m0.068s
Binary Search,22,0m0.297s,0m0.427s,0m0.033s
Binary Search,23,0m0.300s,0m0.397s,0m0.056s
Binary Search,24,0m0.296s,0m0.389s,0m0.057s
Binary Search,25,0m0.291s,0m0.421s,0m0.032s
Binary Search,26,0m0.296s,0m0.362s,0m0.077s
Binary Search,27,0m0.299s,0m0.378s,0m0.065s
Binary Search,28,0m0.306s,0m0.418s,0m0.053s
Binary Search,29,0m0.311s,0m0.420s,0m0.053s
Binary Search,30,0m0.296s,0m0.391s,0m0.060s
Binary Search,31,0m0.290s,0m0.396s,0m0.057s
Binary Search,32,0m0.277s,0m0.371s,0m0.068s
Binary Search,33,0m0.296s,0m0.381s,0m0.072s
Binary Search,34,0m0.309s,0m0.397s,0m0.065s
Binary Search,35,0m0.291s,0m0.387s,0m0.054s
Binary Search,36,0m0.293s,0m0.381s,0m0.057s
Binary Search,37,0m0.299s,0m0.407s,0m0.039s
Binary Search,38,0m0.283s,0m0.390s,0m0.048s
Binary Search,39,0m0.305s,0m0.400s,0m0.069s
Binary Search,40,0m0.284s,0m0.382s,0m0.064s
Binary Search,41,0m0.294s,0m0.386s,0m0.052s
Binary Search,42,0m0.298s,0m0.388s,0m0.073s
Binary Search,43,0m0.292s,0m0.356s,0m0.092s
Binary Search,44,0m0.300s,0m0.409s,0m0.050s
Binary Search,45,0m0.304s,0m0.390s,0m0.064s
Binary Search,46,0m0.295s,0m0.413s,0m0.053s
Binary Search,47,0m0.282s,0m0.404s,0m0.054s
Binary Search,48,0m0.307s,0m0.394s,0m0.058s
Binary Search,49,0m0.293s,0m0.382s,0m0.066s
Binary Search,50,0m0.309s,0m0.389s,0m0.049s
Binary Search,51,0m0.301s,0m0.417s,0m0.057s
Binary Search,52,0m0.302s,0m0.368s,0m0.078s
Binary Search,53,0m0.297s,0m0.394s,0m0.057s
Binary Search,54,0m0.302s,0m0.367s,0m0.087s
Binary Search,55,0m0.289s,0m0.389s,0m0.065s
Binary Search,56,0m0.293s,0m0.414s,0m0.039s
Binary Search,57,0m0.291s,0m0.397s,0m0.059s
Binary Search,58,0m0.311s,0m0.410s,0m0.061s
Binary Search,59,0m0.284s,0m0.379s,0m0.061s
Binary Search,60,0m0.293s,0m0.389s,0m0.052s
Binary Search,61,0m0.293s,0m0.401s,0m0.046s
Binary Search,62,0m0.296s,0m0.418s,0m0.038s
Binary Search,63,0m0.291s,0m0.386s,0m0.057s
Binary Search,64,0m0.306s,0m0.406s,0m0.051s
Binary Search,65,0m0.291s,0m0.399s,0m0.057s
