Algorithm,Run,Real Time,User Time,Sys Time
Binary Search,1,0m0.528s,0m0.465s,0m0.134s
Binary Search,2,0m0.476s,0m0.456s,0m0.132s
Binary Search,3,0m0.490s,0m0.434s,0m0.167s
Binary Search,4,0m0.489s,0m0.489s,0m0.112s
Binary Search,5,0m0.483s,0m0.471s,0m0.124s
Binary Search,6,0m0.485s,0m0.448s,0m0.148s
Binary Search,7,0m0.483s,0m0.490s,0m0.104s
Binary Search,8,0m0.488s,0m0.475s,0m0.124s
Binary Search,9,0m0.486s,0m0.413s,0m0.184s
Binary Search,10,0m0.489s,0m0.486s,0m0.115s
Binary Search,11,0m0.486s,0m0.489s,0m0.108s
Binary Search,12,0m0.488s,0m0.460s,0m0.140s
Binary Search,13,0m0.487s,0m0.470s,0m0.128s
Binary Search,14,0m0.481s,0m0.469s,0m0.124s
Binary Search,15,0m0.480s,0m0.440s,0m0.152s
Binary Search,16,0m0.488s,0m0.472s,0m0.128s
Binary Search,17,0m0.479s,0m0.454s,0m0.137s
Binary Search,18,0m0.479s,0m0.475s,0m0.116s
Binary Search,19,0m0.489s,0m0.493s,0m0.105s
Binary Search,20,0m0.482s,0m0.509s,0m0.084s
Binary Search,21,0m0.481s,0m0.468s,0m0.124s
Binary Search,22,0m0.482s,0m0.469s,0m0.125s
Binary Search,23,0m0.476s,0m0.459s,0m0.129s
Binary Search,24,0m0.480s,0m0.464s,0m0.128s
Binary Search,25,0m0.484s,0m0.464s,0m0.132s
Binary Search,26,0m0.484s,0m0.491s,0m0.104s
Binary Search,27,0m0.478s,0m0.472s,0m0.117s
Binary Search,28,0m0.483s,0m0.470s,0m0.124s
Binary Search,29,0m0.484s,0m0.471s,0m0.124s
Binary Search,30,0m0.485s,0m0.497s,0m0.100s
Binary Search,31,0m0.490s,0m0.482s,0m0.120s
Binary Search,32,0m0.478s,0m0.481s,0m0.109s
Binary Search,33,0m0.483s,0m0.487s,0m0.108s
Binary Search,34,0m0.484s,0m0.487s,0m0.108s
Binary Search,35,0m0.492s,0m0.467s,0m0.136s
Binary Search,36,0m0.486s,0m0.441s,0m0.157s
Binary Search,37,0m0.490s,0m0.469s,0m0.133s
Binary Search,38,0m0.483s,0m0.475s,0m0.120s
Binary Search,39,0m0.481s,0m0.488s,0m0.104s
Binary Search,40,0m0.481s,0m0.472s,0m0.120s
Binary Search,41,0m0.482s,0m0.506s,0m0.088s
Binary Search,42,0m0.488s,0m0.476s,0m0.124s
Binary Search,43,0m0.491s,0m0.481s,0m0.121s
Binary Search,44,0m0.489s,0m0.481s,0m0.120s
Binary Search,45,0m0.485s,0m0.488s,0m0.108s
Binary Search,46,0m0.478s,0m0.473s,0m0.117s
Binary Search,47,0m0.477s,0m0.449s,0m0.141s
Binary Search,48,0m0.481s,0m0.464s,0m0.129s
Binary Search,49,0m0.485s,0m0.452s,0m0.144s
Binary Search,50,0m0.483s,0m0.462s,0m0.133s
Binary Search,51,0m0.482s,0m0.462s,0m0.132s
Binary Search,52,0m0.489s,0m0.484s,0m0.116s
Binary Search,53,0m0.480s,0m0.467s,0m0.124s
Binary Search,54,0m0.486s,0m0.485s,0m0.113s
Binary Search,55,0m0.481s,0m0.473s,0m0.119s
Binary Search,56,0m0.486s,0m0.469s,0m0.129s
Binary Search,57,0m0.490s,0m0.450s,0m0.152s
Binary Search,58,0m0.491s,0m0.450s,0m0.153s
Binary Search,59,0m0.483s,0m0.510s,0m0.085s
Binary Search,60,0m0.480s,0m0.464s,0m0.128s
Binary Search,61,0m0.482s,0m0.497s,0m0.097s
Binary Search,62,0m0.488s,0m0.463s,0m0.136s
