Algorithm,Run,Real Time,User Time,Sys Time
Linear Pooling,1,0m0.133s,0m0.128s,0m0.004s
Linear Pooling,2,0m0.133s,0m0.133s,0m0.000s
Linear Pooling,3,0m0.133s,0m0.133s,0m0.000s
Linear Pooling,4,0m0.134s,0m0.133s,0m0.000s
Linear Pooling,5,0m0.132s,0m0.132s,0m0.000s
Linear Pooling,6,0m0.132s,0m0.132s,0m0.000s
Linear Pooling,7,0m0.132s,0m0.128s,0m0.004s
Linear Pooling,8,0m0.134s,0m0.133s,0m0.000s
Linear Pooling,9,0m0.134s,0m0.129s,0m0.004s
Linear Pooling,10,0m0.133s,0m0.133s,0m0.000s
Linear Pooling,11,0m0.134s,0m0.134s,0m0.000s
Linear Pooling,12,0m0.133s,0m0.133s,0m0.000s
Linear Pooling,13,0m0.133s,0m0.133s,0m0.000s
Linear Pooling,14,0m0.132s,0m0.132s,0m0.000s
Linear Pooling,15,0m0.132s,0m0.128s,0m0.004s
Linear Pooling,16,0m0.133s,0m0.128s,0m0.004s
Linear Pooling,17,0m0.134s,0m0.129s,0m0.004s
Linear Pooling,18,0m0.133s,0m0.132s,0m0.000s
Linear Pooling,19,0m0.133s,0m0.133s,0m0.000s
Linear Pooling,20,0m0.132s,0m0.128s,0m0.004s
Linear Pooling,21,0m0.132s,0m0.132s,0m0.000s
Linear Pooling,22,0m0.132s,0m0.132s,0m0.000s
Linear Pooling,23,0m0.133s,0m0.129s,0m0.004s
Linear Pooling,24,0m0.132s,0m0.128s,0m0.004s
Linear Pooling,25,0m0.131s,0m0.131s,0m0.000s
Linear Pooling,26,0m0.131s,0m0.127s,0m0.004s
Linear Pooling,27,0m0.133s,0m0.133s,0m0.000s
Linear Pooling,28,0m0.133s,0m0.133s,0m0.000s
Linear Pooling,29,0m0.135s,0m0.134s,0m0.000s
Linear Pooling,30,0m0.135s,0m0.134s,0m0.000s
Linear Pooling,31,0m0.133s,0m0.133s,0m0.000s
Linear Pooling,32,0m0.133s,0m0.129s,0m0.004s
Linear Pooling,33,0m0.133s,0m0.132s,0m0.000s
Linear Pooling,34,0m0.134s,0m0.126s,0m0.008s
Linear Pooling,35,0m0.131s,0m0.131s,0m0.000s
Linear Pooling,36,0m0.131s,0m0.131s,0m0.000s
Linear Pooling,37,0m0.131s,0m0.131s,0m0.000s
Linear Pooling,38,0m0.131s,0m0.127s,0m0.004s
Linear Pooling,39,0m0.131s,0m0.127s,0m0.004s
Linear Pooling,40,0m0.131s,0m0.131s,0m0.000s
Linear Pooling,41,0m0.132s,0m0.128s,0m0.004s
Linear Pooling,42,0m0.131s,0m0.131s,0m0.000s
Linear Pooling,43,0m0.131s,0m0.127s,0m0.004s
Linear Pooling,44,0m0.131s,0m0.131s,0m0.000s
Linear Pooling,45,0m0.131s,0m0.127s,0m0.004s
Linear Pooling,46,0m0.132s,0m0.127s,0m0.004s
Linear Pooling,47,0m0.132s,0m0.132s,0m0.000s
Linear Pooling,48,0m0.133s,0m0.133s,0m0.000s
Linear Pooling,49,0m0.133s,0m0.132s,0m0.000s
Linear Pooling,50,0m0.132s,0m0.128s,0m0.004s
Linear Pooling,51,0m0.132s,0m0.132s,0m0.000s
Linear Pooling,52,0m0.131s,0m0.131s,0m0.000s
Linear Pooling,53,0m0.132s,0m0.131s,0m0.000s
Linear Pooling,54,0m0.132s,0m0.132s,0m0.000s
Linear Pooling,55,0m0.134s,0m0.129s,0m0.004s
Linear Pooling,56,0m0.131s,0m0.131s,0m0.000s
Linear Pooling,57,0m0.133s,0m0.133s,0m0.000s
Linear Pooling,58,0m0.131s,0m0.127s,0m0.004s
Linear Pooling,59,0m0.131s,0m0.131s,0m0.000s
Linear Pooling,60,0m0.132s,0m0.128s,0m0.004s
Linear Pooling,61,0m0.131s,0m0.127s,0m0.004s
Linear Pooling,62,0m0.132s,0m0.131s,0m0.000s
Linear Pooling,63,0m0.131s,0m0.131s,0m0.000s
Linear Pooling,64,0m0.131s,0m0.127s,0m0.004s
Linear Pooling,65,0m0.132s,0m0.128s,0m0.004s
Linear Pooling,66,0m0.132s,0m0.127s,0m0.004s
Linear Pooling,67,0m0.132s,0m0.132s,0m0.000s
Linear Pooling,68,0m0.132s,0m0.132s,0m0.000s
Linear Pooling,69,0m0.131s,0m0.127s,0m0.004s
Linear Pooling,70,0m0.132s,0m0.131s,0m0.000s
Linear Pooling,71,0m0.132s,0m0.127s,0m0.004s
Linear Pooling,72,0m0.132s,0m0.131s,0m0.000s
Linear Pooling,73,0m0.132s,0m0.132s,0m0.000s
Linear Pooling,74,0m0.132s,0m0.132s,0m0.000s
Linear Pooling,75,0m0.132s,0m0.132s,0m0.000s
Linear Pooling,76,0m0.132s,0m0.128s,0m0.004s
Linear Pooling,77,0m0.133s,0m0.133s,0m0.000s
Linear Pooling,78,0m0.132s,0m0.128s,0m0.004s
Linear Pooling,79,0m0.131s,0m0.131s,0m0.000s
