Algorithm,Run,Real Time,User Time,Sys Time
Linear Layer,1,0m0.070s,0m0.059s,0m0.016s
Linear Layer,2,0m0.070s,0m0.062s,0m0.014s
Linear Layer,3,0m0.071s,0m0.061s,0m0.016s
Linear Layer,4,0m0.071s,0m0.062s,0m0.013s
Linear Layer,5,0m0.073s,0m0.063s,0m0.013s
Linear Layer,6,0m0.072s,0m0.055s,0m0.021s
Linear Layer,7,0m0.072s,0m0.056s,0m0.021s
Linear Layer,8,0m0.070s,0m0.056s,0m0.021s
Linear Layer,9,0m0.071s,0m0.060s,0m0.014s
Linear Layer,10,0m0.071s,0m0.068s,0m0.008s
Linear Layer,11,0m0.071s,0m0.053s,0m0.023s
Linear Layer,12,0m0.072s,0m0.052s,0m0.024s
Linear Layer,13,0m0.071s,0m0.054s,0m0.021s
Linear Layer,14,0m0.072s,0m0.061s,0m0.014s
Linear Layer,15,0m0.070s,0m0.045s,0m0.032s
Linear Layer,16,0m0.071s,0m0.053s,0m0.023s
Linear Layer,17,0m0.068s,0m0.058s,0m0.016s
Linear Layer,18,0m0.069s,0m0.066s,0m0.008s
Linear Layer,19,0m0.071s,0m0.037s,0m0.037s
Linear Layer,20,0m0.070s,0m0.060s,0m0.016s
Linear Layer,21,0m0.069s,0m0.065s,0m0.010s
Linear Layer,22,0m0.070s,0m0.071s,0m0.004s
Linear Layer,23,0m0.069s,0m0.062s,0m0.011s
Linear Layer,24,0m0.071s,0m0.062s,0m0.013s
Linear Layer,25,0m0.070s,0m0.051s,0m0.024s
Linear Layer,26,0m0.070s,0m0.057s,0m0.019s
Linear Layer,27,0m0.081s,0m0.043s,0m0.030s
Linear Layer,28,0m0.072s,0m0.051s,0m0.024s
Linear Layer,29,0m0.069s,0m0.065s,0m0.009s
Linear Layer,30,0m0.069s,0m0.059s,0m0.016s
Linear Layer,31,0m0.069s,0m0.058s,0m0.018s
Linear Layer,32,0m0.070s,0m0.049s,0m0.027s
Linear Layer,33,0m0.070s,0m0.057s,0m0.019s
Linear Layer,34,0m0.071s,0m0.071s,0m0.004s
Linear Layer,35,0m0.071s,0m0.053s,0m0.021s
Linear Layer,36,0m0.070s,0m0.058s,0m0.016s
Linear Layer,37,0m0.070s,0m0.059s,0m0.016s
Linear Layer,38,0m0.069s,0m0.048s,0m0.024s
Linear Layer,39,0m0.070s,0m0.065s,0m0.012s
Linear Layer,40,0m0.071s,0m0.055s,0m0.017s
Linear Layer,41,0m0.072s,0m0.065s,0m0.009s
Linear Layer,42,0m0.070s,0m0.058s,0m0.017s
Linear Layer,43,0m0.084s,0m0.053s,0m0.021s
Linear Layer,44,0m0.070s,0m0.057s,0m0.018s
Linear Layer,45,0m0.069s,0m0.047s,0m0.028s
Linear Layer,46,0m0.070s,0m0.047s,0m0.028s
Linear Layer,47,0m0.068s,0m0.053s,0m0.022s
Linear Layer,48,0m0.069s,0m0.053s,0m0.022s
Linear Layer,49,0m0.070s,0m0.049s,0m0.027s
Linear Layer,50,0m0.071s,0m0.062s,0m0.014s
Linear Layer,51,0m0.071s,0m0.064s,0m0.013s
Linear Layer,52,0m0.069s,0m0.050s,0m0.025s
Linear Layer,53,0m0.070s,0m0.058s,0m0.017s
Linear Layer,54,0m0.070s,0m0.068s,0m0.008s
Linear Layer,55,0m0.068s,0m0.067s,0m0.009s
Linear Layer,56,0m0.069s,0m0.058s,0m0.018s
Linear Layer,57,0m0.072s,0m0.054s,0m0.020s
Linear Layer,58,0m0.073s,0m0.053s,0m0.023s
Linear Layer,59,0m0.071s,0m0.051s,0m0.025s
Linear Layer,60,0m0.070s,0m0.057s,0m0.019s
Linear Layer,61,0m0.060s,0m0.057s,0m0.015s
Linear Layer,62,0m0.070s,0m0.055s,0m0.020s
Linear Layer,63,0m0.073s,0m0.061s,0m0.013s
Linear Layer,64,0m0.069s,0m0.060s,0m0.015s
Linear Layer,65,0m0.072s,0m0.055s,0m0.020s
Linear Layer,66,0m0.071s,0m0.052s,0m0.022s
Linear Layer,67,0m0.071s,0m0.056s,0m0.017s
Linear Layer,68,0m0.070s,0m0.067s,0m0.009s
Linear Layer,69,0m0.070s,0m0.057s,0m0.018s
Linear Layer,70,0m0.070s,0m0.051s,0m0.025s
Linear Layer,71,0m0.069s,0m0.056s,0m0.019s
Linear Layer,72,0m0.071s,0m0.059s,0m0.016s
Linear Layer,73,0m0.069s,0m0.060s,0m0.015s
Linear Layer,74,0m0.070s,0m0.050s,0m0.027s
Linear Layer,75,0m0.067s,0m0.046s,0m0.027s
Linear Layer,76,0m0.068s,0m0.058s,0m0.016s
Linear Layer,77,0m0.069s,0m0.060s,0m0.015s
Linear Layer,78,0m0.068s,0m0.062s,0m0.013s
Linear Layer,79,0m0.071s,0m0.049s,0m0.024s
Linear Layer,80,0m0.068s,0m0.042s,0m0.032s
Linear Layer,81,0m0.069s,0m0.066s,0m0.008s
Linear Layer,82,0m0.069s,0m0.043s,0m0.032s
Linear Layer,83,0m0.069s,0m0.062s,0m0.013s
Linear Layer,84,0m0.070s,0m0.060s,0m0.016s
Linear Layer,85,0m0.070s,0m0.058s,0m0.016s
Linear Layer,86,0m0.071s,0m0.057s,0m0.018s
Linear Layer,87,0m0.070s,0m0.061s,0m0.016s
Linear Layer,88,0m0.070s,0m0.058s,0m0.017s
Linear Layer,89,0m0.071s,0m0.063s,0m0.009s
Linear Layer,90,0m0.071s,0m0.043s,0m0.032s
Linear Layer,91,0m0.069s,0m0.046s,0m0.025s
Linear Layer,92,0m0.071s,0m0.052s,0m0.023s
Linear Layer,93,0m0.070s,0m0.060s,0m0.015s
Linear Layer,94,0m0.073s,0m0.059s,0m0.013s
Linear Layer,95,0m0.071s,0m0.055s,0m0.020s
Linear Layer,96,0m0.072s,0m0.069s,0m0.008s
Linear Layer,97,0m0.071s,0m0.056s,0m0.020s
Linear Layer,98,0m0.072s,0m0.068s,0m0.009s
Linear Layer,99,0m0.072s,0m0.055s,0m0.017s
Linear Layer,100,0m0.073s,0m0.065s,0m0.012s
