Algorithm,Run,Real Time,User Time,Sys Time
Linear,1,0m0.119s,0m0.143s,0m0.064s
Linear,2,0m0.119s,0m0.149s,0m0.057s
Linear,3,0m0.121s,0m0.133s,0m0.077s
Linear,4,0m0.120s,0m0.156s,0m0.052s
Linear,5,0m0.119s,0m0.131s,0m0.072s
Linear,6,0m0.122s,0m0.139s,0m0.072s
Linear,7,0m0.119s,0m0.155s,0m0.052s
Linear,8,0m0.120s,0m0.133s,0m0.077s
Linear,9,0m0.119s,0m0.146s,0m0.060s
Linear,10,0m0.119s,0m0.165s,0m0.041s
Linear,11,0m0.119s,0m0.147s,0m0.060s
Linear,12,0m0.122s,0m0.164s,0m0.048s
Linear,13,0m0.122s,0m0.172s,0m0.040s
Linear,14,0m0.121s,0m0.149s,0m0.061s
Linear,15,0m0.119s,0m0.142s,0m0.065s
Linear,16,0m0.122s,0m0.159s,0m0.052s
Linear,17,0m0.120s,0m0.145s,0m0.064s
Linear,18,0m0.120s,0m0.146s,0m0.059s
Linear,19,0m0.122s,0m0.159s,0m0.053s
Linear,20,0m0.122s,0m0.161s,0m0.051s
Linear,21,0m0.123s,0m0.141s,0m0.072s
Linear,22,0m0.122s,0m0.148s,0m0.064s
Linear,23,0m0.120s,0m0.160s,0m0.048s
Linear,24,0m0.121s,0m0.131s,0m0.079s
Linear,25,0m0.123s,0m0.141s,0m0.072s
Linear,26,0m0.122s,0m0.156s,0m0.056s
Linear,27,0m0.122s,0m0.148s,0m0.064s
Linear,28,0m0.122s,0m0.151s,0m0.060s
Linear,29,0m0.120s,0m0.156s,0m0.052s
Linear,30,0m0.128s,0m0.137s,0m0.081s
Linear,31,0m0.122s,0m0.151s,0m0.060s
Linear,32,0m0.122s,0m0.112s,0m0.100s
Linear,33,0m0.121s,0m0.167s,0m0.044s
Linear,34,0m0.121s,0m0.159s,0m0.052s
Linear,35,0m0.123s,0m0.149s,0m0.064s
Linear,36,0m0.123s,0m0.137s,0m0.077s
Linear,37,0m0.121s,0m0.158s,0m0.052s
Linear,38,0m0.121s,0m0.143s,0m0.067s
Linear,39,0m0.123s,0m0.168s,0m0.044s
Linear,40,0m0.121s,0m0.145s,0m0.064s
Linear,41,0m0.121s,0m0.142s,0m0.069s
Linear,42,0m0.122s,0m0.161s,0m0.051s
Linear,43,0m0.123s,0m0.148s,0m0.061s
Linear,44,0m0.119s,0m0.152s,0m0.056s
Linear,45,0m0.121s,0m0.153s,0m0.056s
Linear,46,0m0.123s,0m0.137s,0m0.076s
Linear,47,0m0.121s,0m0.143s,0m0.067s
Linear,48,0m0.119s,0m0.144s,0m0.063s
Linear,49,0m0.119s,0m0.159s,0m0.048s
Linear,50,0m0.121s,0m0.145s,0m0.065s
Linear,51,0m0.119s,0m0.154s,0m0.052s
Linear,52,0m0.119s,0m0.133s,0m0.073s
Linear,53,0m0.118s,0m0.138s,0m0.067s
Linear,54,0m0.121s,0m0.157s,0m0.052s
Linear,55,0m0.125s,0m0.145s,0m0.068s
Linear,56,0m0.120s,0m0.133s,0m0.076s
Linear,57,0m0.121s,0m0.145s,0m0.064s
Linear,58,0m0.122s,0m0.138s,0m0.073s
Linear,59,0m0.121s,0m0.149s,0m0.060s
Linear,60,0m0.121s,0m0.146s,0m0.065s
Linear,61,0m0.121s,0m0.155s,0m0.055s
Linear,62,0m0.124s,0m0.148s,0m0.068s
Linear,63,0m0.120s,0m0.134s,0m0.075s
Linear,64,0m0.122s,0m0.148s,0m0.064s
Linear,65,0m0.120s,0m0.140s,0m0.068s
Linear,66,0m0.121s,0m0.149s,0m0.060s
Linear,67,0m0.126s,0m0.142s,0m0.073s
Linear,68,0m0.122s,0m0.155s,0m0.056s
Linear,69,0m0.120s,0m0.148s,0m0.060s
Linear,70,0m0.120s,0m0.132s,0m0.076s
Linear,71,0m0.121s,0m0.133s,0m0.076s
Linear,72,0m0.121s,0m0.171s,0m0.040s
Linear,73,0m0.123s,0m0.169s,0m0.044s
Linear,74,0m0.122s,0m0.140s,0m0.071s
Linear,75,0m0.120s,0m0.128s,0m0.080s
Linear,76,0m0.121s,0m0.161s,0m0.048s
Linear,77,0m0.122s,0m0.136s,0m0.076s
Linear,78,0m0.122s,0m0.152s,0m0.060s
Linear,79,0m0.121s,0m0.145s,0m0.064s
Linear,80,0m0.121s,0m0.153s,0m0.052s
Linear,81,0m0.120s,0m0.152s,0m0.056s
Linear,82,0m0.119s,0m0.150s,0m0.057s
Linear,83,0m0.119s,0m0.135s,0m0.072s
Linear,84,0m0.121s,0m0.158s,0m0.053s
Linear,85,0m0.119s,0m0.150s,0m0.056s
Linear,86,0m0.120s,0m0.148s,0m0.060s
Linear,87,0m0.120s,0m0.148s,0m0.060s
Linear,88,0m0.122s,0m0.126s,0m0.085s
Linear,89,0m0.121s,0m0.141s,0m0.069s
Linear,90,0m0.119s,0m0.154s,0m0.052s
Linear,91,0m0.120s,0m0.137s,0m0.072s
Linear,92,0m0.121s,0m0.121s,0m0.084s
Linear,93,0m0.120s,0m0.162s,0m0.047s
Linear,94,0m0.122s,0m0.150s,0m0.061s
Linear,95,0m0.122s,0m0.176s,0m0.036s
Linear,96,0m0.119s,0m0.146s,0m0.061s
Linear,97,0m0.121s,0m0.139s,0m0.071s
Linear,98,0m0.121s,0m0.137s,0m0.073s
Linear,99,0m0.122s,0m0.153s,0m0.059s
Linear,100,0m0.122s,0m0.150s,0m0.061s
