Algorithm,Run,Real Time,User Time,Sys Time
Max Pooling,1,0m0.434s,0m0.410s,0m0.024s
Max Pooling,2,0m0.436s,0m0.415s,0m0.020s
Max Pooling,3,0m0.434s,0m0.414s,0m0.020s
Max Pooling,4,0m0.441s,0m0.413s,0m0.028s
Max Pooling,5,0m0.434s,0m0.422s,0m0.012s
Max Pooling,6,0m0.431s,0m0.419s,0m0.012s
Max Pooling,7,0m0.434s,0m0.398s,0m0.036s
Max Pooling,8,0m0.432s,0m0.416s,0m0.016s
Max Pooling,9,0m0.432s,0m0.403s,0m0.028s
Max Pooling,10,0m0.430s,0m0.413s,0m0.016s
Max Pooling,11,0m0.432s,0m0.416s,0m0.016s
Max Pooling,12,0m0.428s,0m0.400s,0m0.028s
Max Pooling,13,0m0.428s,0m0.424s,0m0.004s
Max Pooling,14,0m0.431s,0m0.407s,0m0.024s
Max Pooling,15,0m0.433s,0m0.413s,0m0.020s
Max Pooling,16,0m0.430s,0m0.414s,0m0.016s
Max Pooling,17,0m0.433s,0m0.402s,0m0.032s
Max Pooling,18,0m0.429s,0m0.413s,0m0.016s
Max Pooling,19,0m0.431s,0m0.419s,0m0.012s
Max Pooling,20,0m0.431s,0m0.415s,0m0.016s
Max Pooling,21,0m0.432s,0m0.412s,0m0.020s
Max Pooling,22,0m0.432s,0m0.416s,0m0.016s
Max Pooling,23,0m0.430s,0m0.418s,0m0.012s
Max Pooling,24,0m0.429s,0m0.410s,0m0.020s
Max Pooling,25,0m0.435s,0m0.411s,0m0.024s
Max Pooling,26,0m0.433s,0m0.413s,0m0.020s
Max Pooling,27,0m0.430s,0m0.413s,0m0.016s
Max Pooling,28,0m0.431s,0m0.403s,0m0.028s
Max Pooling,29,0m0.431s,0m0.407s,0m0.024s
Max Pooling,30,0m0.430s,0m0.394s,0m0.036s
Max Pooling,31,0m0.433s,0m0.413s,0m0.020s
Max Pooling,32,0m0.431s,0m0.415s,0m0.016s
Max Pooling,33,0m0.435s,0m0.419s,0m0.016s
Max Pooling,34,0m0.430s,0m0.414s,0m0.016s
Max Pooling,35,0m0.429s,0m0.401s,0m0.028s
Max Pooling,36,0m0.429s,0m0.409s,0m0.020s
Max Pooling,37,0m0.430s,0m0.398s,0m0.032s
Max Pooling,38,0m0.426s,0m0.406s,0m0.020s
Max Pooling,39,0m0.427s,0m0.399s,0m0.028s
Max Pooling,40,0m0.435s,0m0.422s,0m0.012s
Max Pooling,41,0m0.430s,0m0.406s,0m0.024s
Max Pooling,42,0m0.433s,0m0.417s,0m0.016s
Max Pooling,43,0m0.435s,0m0.415s,0m0.020s
Max Pooling,44,0m0.432s,0m0.407s,0m0.024s
Max Pooling,45,0m0.435s,0m0.399s,0m0.036s
Max Pooling,46,0m0.428s,0m0.423s,0m0.004s
Max Pooling,47,0m0.435s,0m0.422s,0m0.012s
Max Pooling,48,0m0.432s,0m0.400s,0m0.032s
Max Pooling,49,0m0.428s,0m0.400s,0m0.028s
Max Pooling,50,0m0.429s,0m0.393s,0m0.036s
Max Pooling,51,0m0.431s,0m0.427s,0m0.004s
Max Pooling,52,0m0.431s,0m0.390s,0m0.040s
Max Pooling,53,0m0.434s,0m0.406s,0m0.028s
Max Pooling,54,0m0.427s,0m0.407s,0m0.020s
Max Pooling,55,0m0.431s,0m0.403s,0m0.029s
Max Pooling,56,0m0.434s,0m0.402s,0m0.032s
Max Pooling,57,0m0.432s,0m0.412s,0m0.020s
Max Pooling,58,0m0.432s,0m0.408s,0m0.024s
Max Pooling,59,0m0.431s,0m0.391s,0m0.040s
