Algorithm,Run,Real Time,User Time,Sys Time
Max Pooling,1,0m0.179s,0m0.172s,0m0.052s
Max Pooling,2,0m0.179s,0m0.178s,0m0.037s
Max Pooling,3,0m0.182s,0m0.192s,0m0.035s
Max Pooling,4,0m0.163s,0m0.165s,0m0.033s
Max Pooling,5,0m0.181s,0m0.194s,0m0.029s
Max Pooling,6,0m0.178s,0m0.166s,0m0.050s
Max Pooling,7,0m0.183s,0m0.173s,0m0.043s
Max Pooling,8,0m0.172s,0m0.158s,0m0.050s
Max Pooling,9,0m0.188s,0m0.181s,0m0.040s
Max Pooling,10,0m0.181s,0m0.190s,0m0.034s
Max Pooling,11,0m0.184s,0m0.186s,0m0.029s
Max Pooling,12,0m0.182s,0m0.189s,0m0.029s
Max Pooling,13,0m0.182s,0m0.181s,0m0.044s
Max Pooling,14,0m0.181s,0m0.202s,0m0.034s
Max Pooling,15,0m0.182s,0m0.195s,0m0.025s
Max Pooling,16,0m0.183s,0m0.202s,0m0.025s
Max Pooling,17,0m0.180s,0m0.201s,0m0.028s
Max Pooling,18,0m0.186s,0m0.184s,0m0.045s
Max Pooling,19,0m0.179s,0m0.173s,0m0.040s
Max Pooling,20,0m0.182s,0m0.178s,0m0.038s
Max Pooling,21,0m0.167s,0m0.166s,0m0.034s
Max Pooling,22,0m0.184s,0m0.174s,0m0.042s
Max Pooling,23,0m0.165s,0m0.183s,0m0.028s
Max Pooling,24,0m0.186s,0m0.203s,0m0.021s
Max Pooling,25,0m0.180s,0m0.197s,0m0.017s
Max Pooling,26,0m0.180s,0m0.194s,0m0.030s
Max Pooling,27,0m0.165s,0m0.169s,0m0.037s
Max Pooling,28,0m0.177s,0m0.186s,0m0.033s
Max Pooling,29,0m0.181s,0m0.179s,0m0.044s
Max Pooling,30,0m0.179s,0m0.178s,0m0.034s
Max Pooling,31,0m0.182s,0m0.197s,0m0.041s
Max Pooling,32,0m0.182s,0m0.193s,0m0.033s
Max Pooling,33,0m0.167s,0m0.168s,0m0.040s
Max Pooling,34,0m0.196s,0m0.241s,0m0.028s
Max Pooling,35,0m0.184s,0m0.177s,0m0.036s
Max Pooling,36,0m0.183s,0m0.206s,0m0.033s
Max Pooling,37,0m0.183s,0m0.180s,0m0.035s
Max Pooling,38,0m0.181s,0m0.178s,0m0.038s
Max Pooling,39,0m0.185s,0m0.200s,0m0.025s
Max Pooling,40,0m0.169s,0m0.177s,0m0.026s
Max Pooling,41,0m0.182s,0m0.163s,0m0.055s
Max Pooling,42,0m0.190s,0m0.195s,0m0.022s
Max Pooling,43,0m0.189s,0m0.198s,0m0.038s
Max Pooling,44,0m0.187s,0m0.193s,0m0.022s
Max Pooling,45,0m0.179s,0m0.180s,0m0.036s
Max Pooling,46,0m0.180s,0m0.156s,0m0.059s
Max Pooling,47,0m0.183s,0m0.191s,0m0.021s
Max Pooling,48,0m0.177s,0m0.187s,0m0.029s
Max Pooling,49,0m0.183s,0m0.182s,0m0.036s
Max Pooling,50,0m0.184s,0m0.214s,0m0.025s
Max Pooling,51,0m0.176s,0m0.194s,0m0.020s
Max Pooling,52,0m0.183s,0m0.178s,0m0.037s
Max Pooling,53,0m0.177s,0m0.191s,0m0.033s
Max Pooling,54,0m0.184s,0m0.181s,0m0.036s
Max Pooling,55,0m0.204s,0m0.227s,0m0.033s
Max Pooling,56,0m0.168s,0m0.162s,0m0.046s
Max Pooling,57,0m0.166s,0m0.149s,0m0.062s
Max Pooling,58,0m0.182s,0m0.171s,0m0.043s
Max Pooling,59,0m0.182s,0m0.173s,0m0.042s
Max Pooling,60,0m0.178s,0m0.172s,0m0.043s
Max Pooling,61,0m0.179s,0m0.183s,0m0.029s
Max Pooling,62,0m0.167s,0m0.172s,0m0.039s
Max Pooling,63,0m0.177s,0m0.180s,0m0.034s
Max Pooling,64,0m0.180s,0m0.194s,0m0.030s
Max Pooling,65,0m0.175s,0m0.191s,0m0.021s
Max Pooling,66,0m0.181s,0m0.213s,0m0.025s
Max Pooling,67,0m0.167s,0m0.172s,0m0.038s
Max Pooling,68,0m0.185s,0m0.185s,0m0.033s
Max Pooling,69,0m0.181s,0m0.195s,0m0.031s
Max Pooling,70,0m0.183s,0m0.192s,0m0.025s
Max Pooling,71,0m0.182s,0m0.179s,0m0.038s
Max Pooling,72,0m0.180s,0m0.180s,0m0.047s
Max Pooling,73,0m0.180s,0m0.179s,0m0.038s
Max Pooling,74,0m0.179s,0m0.186s,0m0.037s
Max Pooling,75,0m0.182s,0m0.189s,0m0.036s
Max Pooling,76,0m0.192s,0m0.199s,0m0.045s
Max Pooling,77,0m0.185s,0m0.185s,0m0.036s
Max Pooling,78,0m0.183s,0m0.170s,0m0.049s
Max Pooling,79,0m0.177s,0m0.187s,0m0.038s
Max Pooling,80,0m0.164s,0m0.193s,0m0.013s
Max Pooling,81,0m0.181s,0m0.194s,0m0.018s
Max Pooling,82,0m0.181s,0m0.172s,0m0.039s
Max Pooling,83,0m0.177s,0m0.178s,0m0.033s
Max Pooling,84,0m0.180s,0m0.174s,0m0.047s
Max Pooling,85,0m0.184s,0m0.176s,0m0.041s
Max Pooling,86,0m0.179s,0m0.178s,0m0.042s
Max Pooling,87,0m0.163s,0m0.178s,0m0.024s
Max Pooling,88,0m0.183s,0m0.189s,0m0.036s
Max Pooling,89,0m0.188s,0m0.168s,0m0.047s
Max Pooling,90,0m0.187s,0m0.172s,0m0.046s
Max Pooling,91,0m0.179s,0m0.186s,0m0.030s
Max Pooling,92,0m0.184s,0m0.182s,0m0.032s
Max Pooling,93,0m0.183s,0m0.190s,0m0.035s
Max Pooling,94,0m0.180s,0m0.180s,0m0.045s
Max Pooling,95,0m0.179s,0m0.192s,0m0.033s
Max Pooling,96,0m0.182s,0m0.182s,0m0.034s
Max Pooling,97,0m0.180s,0m0.187s,0m0.026s
Max Pooling,98,0m0.182s,0m0.177s,0m0.040s
Max Pooling,99,0m0.184s,0m0.191s,0m0.035s
Max Pooling,100,0m0.167s,0m0.175s,0m0.033s
