Algorithm,Run,Real Time,User Time,Sys Time
Max,1,0m11.172s,0m11.171s,0m0.112s
Max,2,0m15.041s,0m15.046s,0m0.104s
Max,3,0m11.279s,0m11.289s,0m0.100s
Max,4,0m12.867s,0m12.889s,0m0.088s
Max,5,0m11.538s,0m11.548s,0m0.100s
Max,6,0m12.071s,0m12.060s,0m0.120s
Max,7,0m11.924s,0m11.966s,0m0.068s
Max,8,0m11.768s,0m11.770s,0m0.108s
Max,9,0m11.453s,0m11.448s,0m0.116s
Max,10,0m12.510s,0m12.509s,0m0.112s
Max,11,0m11.955s,0m11.965s,0m0.100s
Max,12,0m12.121s,0m12.122s,0m0.108s
Max,13,0m11.554s,0m11.568s,0m0.096s
Max,14,0m11.151s,0m11.165s,0m0.096s
Max,15,0m12.282s,0m12.287s,0m0.104s
Max,16,0m14.069s,0m14.044s,0m0.136s
Max,17,0m11.560s,0m11.574s,0m0.096s
Max,18,0m11.335s,0m11.370s,0m0.076s
Max,19,0m12.025s,0m12.032s,0m0.104s
Max,20,0m11.431s,0m11.434s,0m0.108s
Max,21,0m11.092s,0m11.094s,0m0.108s
Max,22,0m11.855s,0m11.857s,0m0.108s
Max,23,0m11.730s,0m11.739s,0m0.100s
Max,24,0m13.072s,0m13.077s,0m0.104s
Max,25,0m11.733s,0m11.730s,0m0.112s
Max,26,0m11.340s,0m11.338s,0m0.112s
Max,27,0m13.952s,0m13.963s,0m0.100s
Max,28,0m11.958s,0m11.944s,0m0.124s
Max,29,0m12.359s,0m12.369s,0m0.100s
Max,30,0m11.107s,0m11.103s,0m0.108s
Max,31,0m12.013s,0m12.022s,0m0.100s
Max,32,0m14.730s,0m14.713s,0m0.128s
Max,33,0m11.327s,0m11.333s,0m0.104s
Max,34,0m12.414s,0m12.420s,0m0.100s
Max,35,0m11.814s,0m11.823s,0m0.100s
Max,36,0m11.763s,0m11.794s,0m0.080s
Max,37,0m11.779s,0m11.765s,0m0.124s
Max,38,0m11.005s,0m11.004s,0m0.112s
Max,39,0m11.111s,0m11.105s,0m0.116s
Max,40,0m11.698s,0m11.696s,0m0.112s
Max,41,0m11.993s,0m11.992s,0m0.112s
Max,42,0m11.524s,0m11.518s,0m0.116s
Max,43,0m11.793s,0m11.775s,0m0.128s
Max,44,0m11.639s,0m11.661s,0m0.088s
Max,45,0m11.235s,0m11.257s,0m0.088s
Max,46,0m11.247s,0m11.253s,0m0.104s
Max,47,0m11.603s,0m11.601s,0m0.112s
Max,48,0m11.724s,0m11.721s,0m0.108s
Max,49,0m11.549s,0m11.511s,0m0.148s
Max,50,0m11.769s,0m11.775s,0m0.104s
Max,51,0m11.976s,0m11.998s,0m0.088s
Max,52,0m11.512s,0m11.523s,0m0.100s
Max,53,0m11.236s,0m11.255s,0m0.092s
Max,54,0m12.886s,0m12.901s,0m0.096s
Max,55,0m11.585s,0m11.599s,0m0.096s
Max,56,0m12.545s,0m12.546s,0m0.108s
Max,57,0m11.368s,0m11.366s,0m0.112s
Max,58,0m11.661s,0m11.660s,0m0.112s
Max,59,0m12.295s,0m12.285s,0m0.120s
Max,60,0m11.511s,0m11.506s,0m0.116s
Max,61,0m11.328s,0m11.330s,0m0.104s
Max,62,0m12.242s,0m12.256s,0m0.096s
Max,63,0m11.180s,0m11.186s,0m0.104s
Max,64,0m11.730s,0m11.744s,0m0.096s
Max,65,0m11.589s,0m11.607s,0m0.092s
Max,66,0m11.370s,0m11.392s,0m0.088s
Max,67,0m11.967s,0m11.966s,0m0.112s
Max,68,0m11.649s,0m11.639s,0m0.120s
Max,69,0m11.475s,0m11.470s,0m0.116s
Max,70,0m12.122s,0m12.119s,0m0.112s
Max,71,0m11.443s,0m11.453s,0m0.100s
Max,72,0m11.349s,0m11.348s,0m0.112s
Max,73,0m11.254s,0m11.245s,0m0.120s
Max,74,0m12.022s,0m12.003s,0m0.128s
Max,75,0m11.670s,0m11.667s,0m0.112s
Max,76,0m12.250s,0m12.257s,0m0.104s
Max,77,0m12.640s,0m12.647s,0m0.104s
Max,78,0m11.243s,0m11.253s,0m0.100s
Max,79,0m11.507s,0m11.496s,0m0.120s
Max,80,0m12.478s,0m12.477s,0m0.112s
Max,81,0m11.488s,0m11.510s,0m0.088s
Max,82,0m11.891s,0m11.846s,0m0.156s
Max,83,0m11.425s,0m11.442s,0m0.092s
Max,84,0m11.007s,0m10.989s,0m0.128s
Max,85,0m11.261s,0m11.252s,0m0.120s
Max,86,0m12.216s,0m12.259s,0m0.068s
Max,87,0m11.333s,0m11.295s,0m0.148s
Max,88,0m11.994s,0m12.036s,0m0.068s
Max,89,0m11.683s,0m11.681s,0m0.112s
Max,90,0m12.572s,0m12.565s,0m0.112s
Max,91,0m14.538s,0m14.547s,0m0.100s
Max,92,0m11.694s,0m11.735s,0m0.064s
Max,93,0m11.639s,0m11.648s,0m0.100s
Max,94,0m14.491s,0m14.493s,0m0.108s
Max,95,0m12.374s,0m12.336s,0m0.148s
Max,96,0m13.555s,0m13.540s,0m0.124s
Max,97,0m11.918s,0m11.915s,0m0.112s
Max,98,0m11.744s,0m11.735s,0m0.120s
Max,99,0m12.020s,0m12.038s,0m0.088s
Max,100,0m11.548s,0m11.545s,0m0.108s
