Algorithm,Run,Real Time,User Time,Sys Time
Min Pooling,1,0m0.169s,0m0.161s,0m0.053s
Min Pooling,2,0m0.184s,0m0.199s,0m0.029s
Min Pooling,3,0m0.181s,0m0.187s,0m0.042s
Min Pooling,4,0m0.177s,0m0.180s,0m0.033s
Min Pooling,5,0m0.181s,0m0.180s,0m0.046s
Min Pooling,6,0m0.182s,0m0.198s,0m0.025s
Min Pooling,7,0m0.184s,0m0.174s,0m0.041s
Min Pooling,8,0m0.185s,0m0.192s,0m0.024s
Min Pooling,9,0m0.184s,0m0.190s,0m0.028s
Min Pooling,10,0m0.185s,0m0.180s,0m0.033s
Min Pooling,11,0m0.183s,0m0.176s,0m0.038s
Min Pooling,12,0m0.177s,0m0.178s,0m0.032s
Min Pooling,13,0m0.183s,0m0.163s,0m0.054s
Min Pooling,14,0m0.187s,0m0.181s,0m0.038s
Min Pooling,15,0m0.208s,0m0.208s,0m0.054s
Min Pooling,16,0m0.179s,0m0.162s,0m0.050s
Min Pooling,17,0m0.179s,0m0.177s,0m0.036s
Min Pooling,18,0m0.178s,0m0.187s,0m0.026s
Min Pooling,19,0m0.183s,0m0.185s,0m0.030s
Min Pooling,20,0m0.180s,0m0.184s,0m0.031s
Min Pooling,21,0m0.182s,0m0.181s,0m0.039s
Min Pooling,22,0m0.182s,0m0.190s,0m0.028s
Min Pooling,23,0m0.182s,0m0.185s,0m0.030s
Min Pooling,24,0m0.173s,0m0.182s,0m0.029s
Min Pooling,25,0m0.180s,0m0.185s,0m0.041s
Min Pooling,26,0m0.167s,0m0.174s,0m0.042s
Min Pooling,27,0m0.183s,0m0.181s,0m0.034s
Min Pooling,28,0m0.184s,0m0.167s,0m0.049s
Min Pooling,29,0m0.180s,0m0.186s,0m0.029s
Min Pooling,30,0m0.182s,0m0.186s,0m0.029s
Min Pooling,31,0m0.190s,0m0.215s,0m0.009s
Min Pooling,32,0m0.199s,0m0.213s,0m0.037s
Min Pooling,33,0m0.182s,0m0.180s,0m0.037s
Min Pooling,34,0m0.186s,0m0.200s,0m0.028s
Min Pooling,35,0m0.184s,0m0.187s,0m0.030s
Min Pooling,36,0m0.183s,0m0.178s,0m0.039s
Min Pooling,37,0m0.180s,0m0.180s,0m0.037s
Min Pooling,38,0m0.166s,0m0.174s,0m0.025s
Min Pooling,39,0m0.187s,0m0.175s,0m0.039s
Min Pooling,40,0m0.181s,0m0.187s,0m0.029s
Min Pooling,41,0m0.185s,0m0.188s,0m0.029s
Min Pooling,42,0m0.181s,0m0.175s,0m0.051s
Min Pooling,43,0m0.183s,0m0.196s,0m0.032s
Min Pooling,44,0m0.180s,0m0.167s,0m0.050s
Min Pooling,45,0m0.182s,0m0.155s,0m0.062s
Min Pooling,46,0m0.183s,0m0.192s,0m0.025s
Min Pooling,47,0m0.181s,0m0.188s,0m0.026s
Min Pooling,48,0m0.185s,0m0.187s,0m0.037s
Min Pooling,49,0m0.191s,0m0.179s,0m0.037s
Min Pooling,50,0m0.186s,0m0.169s,0m0.050s
Min Pooling,51,0m0.182s,0m0.172s,0m0.040s
Min Pooling,52,0m0.182s,0m0.170s,0m0.046s
Min Pooling,53,0m0.196s,0m0.227s,0m0.029s
Min Pooling,54,0m0.182s,0m0.190s,0m0.027s
Min Pooling,55,0m0.181s,0m0.180s,0m0.036s
Min Pooling,56,0m0.168s,0m0.162s,0m0.053s
Min Pooling,57,0m0.181s,0m0.186s,0m0.042s
Min Pooling,58,0m0.183s,0m0.183s,0m0.042s
Min Pooling,59,0m0.181s,0m0.166s,0m0.053s
Min Pooling,60,0m0.183s,0m0.188s,0m0.041s
Min Pooling,61,0m0.196s,0m0.247s,0m0.025s
Min Pooling,62,0m0.182s,0m0.184s,0m0.039s
Min Pooling,63,0m0.172s,0m0.185s,0m0.032s
Min Pooling,64,0m0.169s,0m0.169s,0m0.044s
Min Pooling,65,0m0.178s,0m0.203s,0m0.021s
Min Pooling,66,0m0.180s,0m0.193s,0m0.031s
Min Pooling,67,0m0.179s,0m0.176s,0m0.038s
Min Pooling,68,0m0.184s,0m0.186s,0m0.047s
Min Pooling,69,0m0.180s,0m0.178s,0m0.037s
Min Pooling,70,0m0.180s,0m0.181s,0m0.036s
Min Pooling,71,0m0.180s,0m0.206s,0m0.017s
Min Pooling,72,0m0.171s,0m0.181s,0m0.030s
Min Pooling,73,0m0.180s,0m0.193s,0m0.021s
Min Pooling,74,0m0.182s,0m0.171s,0m0.045s
Min Pooling,75,0m0.180s,0m0.184s,0m0.034s
Min Pooling,76,0m0.186s,0m0.199s,0m0.025s
Min Pooling,77,0m0.182s,0m0.178s,0m0.050s
Min Pooling,78,0m0.182s,0m0.185s,0m0.029s
Min Pooling,79,0m0.171s,0m0.186s,0m0.021s
Min Pooling,80,0m0.184s,0m0.192s,0m0.029s
Min Pooling,81,0m0.182s,0m0.202s,0m0.025s
Min Pooling,82,0m0.179s,0m0.160s,0m0.057s
Min Pooling,83,0m0.179s,0m0.180s,0m0.044s
Min Pooling,84,0m0.185s,0m0.175s,0m0.041s
Min Pooling,85,0m0.172s,0m0.184s,0m0.030s
Min Pooling,86,0m0.179s,0m0.175s,0m0.041s
Min Pooling,87,0m0.186s,0m0.200s,0m0.033s
Min Pooling,88,0m0.173s,0m0.171s,0m0.046s
Min Pooling,89,0m0.169s,0m0.201s,0m0.012s
Min Pooling,90,0m0.193s,0m0.186s,0m0.030s
Min Pooling,91,0m0.182s,0m0.175s,0m0.041s
Min Pooling,92,0m0.201s,0m0.225s,0m0.030s
Min Pooling,93,0m0.169s,0m0.178s,0m0.033s
Min Pooling,94,0m0.184s,0m0.184s,0m0.039s
Min Pooling,95,0m0.180s,0m0.180s,0m0.034s
Min Pooling,96,0m0.168s,0m0.179s,0m0.033s
Min Pooling,97,0m0.170s,0m0.177s,0m0.029s
Min Pooling,98,0m0.169s,0m0.185s,0m0.029s
Min Pooling,99,0m0.184s,0m0.181s,0m0.038s
Min Pooling,100,0m0.184s,0m0.186s,0m0.030s
