Algorithm,Run,Real Time,User Time,Sys Time
Min,1,0m11.398s,0m11.401s,0m0.108s
Min,2,0m11.992s,0m11.999s,0m0.104s
Min,3,0m12.352s,0m12.354s,0m0.108s
Min,4,0m11.882s,0m11.896s,0m0.096s
Min,5,0m12.220s,0m12.218s,0m0.112s
Min,6,0m11.243s,0m11.249s,0m0.104s
Min,7,0m11.378s,0m11.388s,0m0.100s
Min,8,0m11.967s,0m11.978s,0m0.100s
Min,9,0m11.685s,0m11.687s,0m0.108s
Min,10,0m12.507s,0m12.480s,0m0.136s
Min,11,0m11.830s,0m11.828s,0m0.112s
Min,12,0m11.301s,0m11.311s,0m0.100s
Min,13,0m11.286s,0m11.310s,0m0.080s
Min,14,0m13.768s,0m13.779s,0m0.100s
Min,15,0m11.710s,0m11.697s,0m0.124s
Min,16,0m11.496s,0m11.471s,0m0.136s
Min,17,0m12.353s,0m12.371s,0m0.088s
Min,18,0m11.570s,0m11.565s,0m0.116s
Min,19,0m11.651s,0m11.641s,0m0.120s
Min,20,0m11.556s,0m11.570s,0m0.096s
Min,21,0m11.396s,0m11.399s,0m0.108s
Min,22,0m13.481s,0m13.459s,0m0.132s
Min,23,0m11.294s,0m11.332s,0m0.072s
Min,24,0m11.240s,0m11.253s,0m0.096s
Min,25,0m12.084s,0m12.097s,0m0.096s
Min,26,0m11.437s,0m11.447s,0m0.100s
Min,27,0m11.789s,0m11.796s,0m0.104s
Min,28,0m11.506s,0m11.520s,0m0.096s
Min,29,0m11.007s,0m11.003s,0m0.112s
Min,30,0m11.719s,0m11.714s,0m0.116s
Min,31,0m12.198s,0m12.196s,0m0.112s
Min,32,0m12.212s,0m12.217s,0m0.104s
Min,33,0m11.548s,0m11.546s,0m0.112s
Min,34,0m13.383s,0m13.377s,0m0.116s
Min,35,0m12.187s,0m12.170s,0m0.128s
Min,36,0m13.005s,0m13.007s,0m0.108s
Min,37,0m11.374s,0m11.376s,0m0.108s
Min,38,0m12.528s,0m12.465s,0m0.168s
Min,39,0m11.301s,0m11.283s,0m0.128s
Min,40,0m11.678s,0m11.668s,0m0.120s
Min,41,0m11.210s,0m11.215s,0m0.104s
Min,42,0m11.414s,0m11.434s,0m0.084s
Min,43,0m12.047s,0m12.070s,0m0.088s
Min,44,0m11.396s,0m11.383s,0m0.124s
Min,45,0m11.414s,0m11.409s,0m0.116s
Min,46,0m11.503s,0m11.509s,0m0.104s
Min,47,0m11.638s,0m11.631s,0m0.116s
Min,48,0m13.198s,0m13.200s,0m0.108s
Min,49,0m11.502s,0m11.460s,0m0.152s
Min,50,0m11.293s,0m11.319s,0m0.084s
Min,51,0m11.516s,0m11.489s,0m0.132s
Min,52,0m11.187s,0m11.165s,0m0.132s
Min,53,0m12.706s,0m12.737s,0m0.080s
Min,54,0m15.064s,0m15.066s,0m0.108s
Min,55,0m11.616s,0m11.622s,0m0.104s
Min,56,0m11.853s,0m11.856s,0m0.108s
Min,57,0m11.337s,0m11.308s,0m0.140s
Min,58,0m11.504s,0m11.522s,0m0.092s
Min,59,0m12.118s,0m12.149s,0m0.080s
Min,60,0m11.789s,0m11.811s,0m0.088s
Min,61,0m11.813s,0m11.791s,0m0.132s
Min,62,0m11.476s,0m11.485s,0m0.096s
Min,63,0m11.896s,0m11.887s,0m0.120s
Min,64,0m11.466s,0m11.484s,0m0.092s
Min,65,0m11.900s,0m11.919s,0m0.092s
Min,66,0m11.216s,0m11.241s,0m0.080s
Min,67,0m11.745s,0m11.767s,0m0.088s
Min,68,0m11.960s,0m11.955s,0m0.116s
Min,69,0m11.932s,0m11.966s,0m0.076s
Min,70,0m11.356s,0m11.347s,0m0.120s
Min,71,0m11.886s,0m11.879s,0m0.116s
Min,72,0m11.295s,0m11.285s,0m0.120s
Min,73,0m11.389s,0m11.379s,0m0.120s
Min,74,0m11.336s,0m11.321s,0m0.124s
Min,75,0m12.484s,0m12.489s,0m0.104s
Min,76,0m12.806s,0m12.800s,0m0.116s
Min,77,0m11.125s,0m11.120s,0m0.116s
Min,78,0m11.912s,0m11.919s,0m0.104s
Min,79,0m13.795s,0m13.794s,0m0.112s
Min,80,0m12.389s,0m12.398s,0m0.100s
Min,81,0m13.500s,0m13.473s,0m0.136s
Min,82,0m13.132s,0m13.126s,0m0.116s
Min,83,0m11.763s,0m11.773s,0m0.100s
Min,84,0m12.026s,0m12.024s,0m0.112s
Min,85,0m11.456s,0m11.450s,0m0.116s
Min,86,0m11.743s,0m11.773s,0m0.080s
Min,87,0m11.313s,0m11.339s,0m0.084s
Min,88,0m11.675s,0m11.685s,0m0.096s
Min,89,0m12.021s,0m12.039s,0m0.092s
Min,90,0m11.562s,0m11.584s,0m0.088s
Min,91,0m12.346s,0m12.363s,0m0.092s
Min,92,0m11.636s,0m11.655s,0m0.092s
Min,93,0m11.545s,0m11.564s,0m0.092s
Min,94,0m13.038s,0m13.043s,0m0.100s
Min,95,0m14.547s,0m14.537s,0m0.120s
Min,96,0m11.865s,0m11.891s,0m0.084s
Min,97,0m11.329s,0m11.336s,0m0.104s
Min,98,0m11.295s,0m11.314s,0m0.092s
Min,99,0m11.509s,0m11.524s,0m0.096s
Min,100,0m12.745s,0m12.767s,0m0.088s
