Algorithm,Run,Real Time,User Time,Sys Time
Sum Pooling,1,0m0.410s,0m0.394s,0m0.016s
Sum Pooling,2,0m0.413s,0m0.401s,0m0.012s
Sum Pooling,3,0m0.413s,0m0.393s,0m0.020s
Sum Pooling,4,0m0.412s,0m0.408s,0m0.004s
Sum Pooling,5,0m0.412s,0m0.396s,0m0.016s
Sum Pooling,6,0m0.416s,0m0.376s,0m0.040s
Sum Pooling,7,0m0.412s,0m0.387s,0m0.024s
Sum Pooling,8,0m0.411s,0m0.390s,0m0.020s
Sum Pooling,9,0m0.414s,0m0.386s,0m0.028s
Sum Pooling,10,0m0.414s,0m0.393s,0m0.020s
Sum Pooling,11,0m0.413s,0m0.408s,0m0.004s
Sum Pooling,12,0m0.414s,0m0.393s,0m0.020s
Sum Pooling,13,0m0.412s,0m0.372s,0m0.040s
Sum Pooling,14,0m0.416s,0m0.391s,0m0.024s
Sum Pooling,15,0m0.412s,0m0.380s,0m0.032s
Sum Pooling,16,0m0.410s,0m0.386s,0m0.024s
Sum Pooling,17,0m0.411s,0m0.383s,0m0.029s
Sum Pooling,18,0m0.410s,0m0.390s,0m0.021s
Sum Pooling,19,0m0.411s,0m0.375s,0m0.036s
Sum Pooling,20,0m0.411s,0m0.379s,0m0.032s
Sum Pooling,21,0m0.412s,0m0.392s,0m0.020s
Sum Pooling,22,0m0.411s,0m0.403s,0m0.008s
Sum Pooling,23,0m0.413s,0m0.396s,0m0.016s
Sum Pooling,24,0m0.414s,0m0.393s,0m0.021s
Sum Pooling,25,0m0.414s,0m0.401s,0m0.012s
Sum Pooling,26,0m0.411s,0m0.391s,0m0.021s
Sum Pooling,27,0m0.413s,0m0.381s,0m0.032s
Sum Pooling,28,0m0.414s,0m0.386s,0m0.028s
Sum Pooling,29,0m0.412s,0m0.384s,0m0.028s
Sum Pooling,30,0m0.412s,0m0.396s,0m0.016s
Sum Pooling,31,0m0.413s,0m0.393s,0m0.020s
Sum Pooling,32,0m0.413s,0m0.385s,0m0.028s
Sum Pooling,33,0m0.413s,0m0.377s,0m0.037s
Sum Pooling,34,0m0.410s,0m0.374s,0m0.036s
Sum Pooling,35,0m0.408s,0m0.379s,0m0.028s
Sum Pooling,36,0m0.415s,0m0.386s,0m0.029s
Sum Pooling,37,0m0.413s,0m0.376s,0m0.037s
Sum Pooling,38,0m0.414s,0m0.390s,0m0.024s
Sum Pooling,39,0m0.413s,0m0.369s,0m0.044s
Sum Pooling,40,0m0.413s,0m0.377s,0m0.036s
Sum Pooling,41,0m0.409s,0m0.388s,0m0.020s
Sum Pooling,42,0m0.408s,0m0.376s,0m0.032s
Sum Pooling,43,0m0.416s,0m0.392s,0m0.024s
Sum Pooling,44,0m0.411s,0m0.375s,0m0.037s
Sum Pooling,45,0m0.415s,0m0.379s,0m0.036s
Sum Pooling,46,0m0.415s,0m0.395s,0m0.020s
Sum Pooling,47,0m0.414s,0m0.397s,0m0.016s
Sum Pooling,48,0m0.415s,0m0.391s,0m0.024s
Sum Pooling,49,0m0.416s,0m0.375s,0m0.040s
Sum Pooling,50,0m0.412s,0m0.400s,0m0.012s
Sum Pooling,51,0m0.409s,0m0.397s,0m0.012s
Sum Pooling,52,0m0.409s,0m0.381s,0m0.028s
Sum Pooling,53,0m0.416s,0m0.376s,0m0.040s
Sum Pooling,54,0m0.413s,0m0.392s,0m0.020s
Sum Pooling,55,0m0.417s,0m0.396s,0m0.020s
Sum Pooling,56,0m0.415s,0m0.399s,0m0.016s
Sum Pooling,57,0m0.414s,0m0.386s,0m0.028s
Sum Pooling,58,0m0.414s,0m0.394s,0m0.020s
Sum Pooling,59,0m0.410s,0m0.390s,0m0.020s
Sum Pooling,60,0m0.413s,0m0.397s,0m0.016s
Sum Pooling,61,0m0.413s,0m0.389s,0m0.024s
Sum Pooling,62,0m0.415s,0m0.371s,0m0.044s
Sum Pooling,63,0m0.417s,0m0.393s,0m0.024s
Sum Pooling,64,0m0.412s,0m0.392s,0m0.021s
Sum Pooling,65,0m0.416s,0m0.388s,0m0.028s
Sum Pooling,66,0m0.415s,0m0.394s,0m0.020s
Sum Pooling,67,0m0.415s,0m0.391s,0m0.024s
Sum Pooling,68,0m0.413s,0m0.368s,0m0.044s
Sum Pooling,69,0m0.417s,0m0.405s,0m0.012s
Sum Pooling,70,0m0.411s,0m0.383s,0m0.028s
Sum Pooling,71,0m0.411s,0m0.391s,0m0.020s
Sum Pooling,72,0m0.413s,0m0.397s,0m0.016s
Sum Pooling,73,0m0.413s,0m0.385s,0m0.028s
Sum Pooling,74,0m0.411s,0m0.387s,0m0.024s
Sum Pooling,75,0m0.414s,0m0.390s,0m0.024s
Sum Pooling,76,0m0.412s,0m0.380s,0m0.032s
Sum Pooling,77,0m0.415s,0m0.379s,0m0.036s
Sum Pooling,78,0m0.413s,0m0.393s,0m0.020s
Sum Pooling,79,0m0.413s,0m0.385s,0m0.028s
Sum Pooling,80,0m0.416s,0m0.387s,0m0.028s
Sum Pooling,81,0m0.417s,0m0.392s,0m0.024s
Sum Pooling,82,0m0.409s,0m0.388s,0m0.020s
Sum Pooling,83,0m0.408s,0m0.392s,0m0.016s
Sum Pooling,84,0m0.410s,0m0.402s,0m0.008s
Sum Pooling,85,0m0.413s,0m0.392s,0m0.020s
Sum Pooling,86,0m0.410s,0m0.385s,0m0.025s
Sum Pooling,87,0m0.414s,0m0.394s,0m0.020s
Sum Pooling,88,0m0.413s,0m0.408s,0m0.004s
Sum Pooling,89,0m0.415s,0m0.390s,0m0.024s
Sum Pooling,90,0m0.415s,0m0.382s,0m0.033s
Sum Pooling,91,0m0.417s,0m0.397s,0m0.020s
Sum Pooling,92,0m0.410s,0m0.373s,0m0.036s
Sum Pooling,93,0m0.411s,0m0.375s,0m0.036s
Sum Pooling,94,0m0.412s,0m0.383s,0m0.028s
Sum Pooling,95,0m0.412s,0m0.380s,0m0.032s
Sum Pooling,96,0m0.413s,0m0.397s,0m0.016s
Sum Pooling,97,0m0.413s,0m0.400s,0m0.012s
