Algorithm,Run,Real Time,User Time,Sys Time
Sum Pooling,1,0m0.173s,0m0.188s,0m0.029s
Sum Pooling,2,0m0.172s,0m0.183s,0m0.024s
Sum Pooling,3,0m0.172s,0m0.159s,0m0.050s
Sum Pooling,4,0m0.174s,0m0.196s,0m0.021s
Sum Pooling,5,0m0.173s,0m0.173s,0m0.033s
Sum Pooling,6,0m0.177s,0m0.178s,0m0.028s
Sum Pooling,7,0m0.169s,0m0.179s,0m0.029s
Sum Pooling,8,0m0.166s,0m0.179s,0m0.026s
Sum Pooling,9,0m0.175s,0m0.194s,0m0.042s
Sum Pooling,10,0m0.176s,0m0.165s,0m0.058s
Sum Pooling,11,0m0.176s,0m0.191s,0m0.021s
Sum Pooling,12,0m0.167s,0m0.175s,0m0.032s
Sum Pooling,13,0m0.167s,0m0.183s,0m0.027s
Sum Pooling,14,0m0.176s,0m0.157s,0m0.053s
Sum Pooling,15,0m0.167s,0m0.182s,0m0.029s
Sum Pooling,16,0m0.173s,0m0.172s,0m0.039s
Sum Pooling,17,0m0.178s,0m0.178s,0m0.043s
Sum Pooling,18,0m0.175s,0m0.180s,0m0.030s
Sum Pooling,19,0m0.176s,0m0.168s,0m0.037s
Sum Pooling,20,0m0.166s,0m0.180s,0m0.027s
Sum Pooling,21,0m0.172s,0m0.158s,0m0.047s
Sum Pooling,22,0m0.170s,0m0.167s,0m0.045s
Sum Pooling,23,0m0.171s,0m0.180s,0m0.035s
Sum Pooling,24,0m0.172s,0m0.156s,0m0.052s
Sum Pooling,25,0m0.177s,0m0.185s,0m0.033s
Sum Pooling,26,0m0.173s,0m0.199s,0m0.021s
Sum Pooling,27,0m0.176s,0m0.189s,0m0.021s
Sum Pooling,28,0m0.179s,0m0.196s,0m0.022s
Sum Pooling,29,0m0.179s,0m0.172s,0m0.048s
Sum Pooling,30,0m0.167s,0m0.179s,0m0.029s
Sum Pooling,31,0m0.175s,0m0.164s,0m0.044s
Sum Pooling,32,0m0.173s,0m0.163s,0m0.047s
