Algorithm,Run,Real Time,User Time,Sys Time
Sum,1,0m11.952s,0m11.959s,0m0.104s
Sum,2,0m11.889s,0m11.891s,0m0.108s
Sum,3,0m15.114s,0m15.087s,0m0.136s
Sum,4,0m11.863s,0m11.856s,0m0.108s
Sum,5,0m11.460s,0m11.454s,0m0.116s
Sum,6,0m11.395s,0m11.405s,0m0.100s
Sum,7,0m12.149s,0m12.102s,0m0.156s
Sum,8,0m11.378s,0m11.369s,0m0.120s
Sum,9,0m13.850s,0m13.880s,0m0.076s
Sum,10,0m12.741s,0m12.750s,0m0.100s
Sum,11,0m12.033s,0m12.038s,0m0.104s
Sum,12,0m11.484s,0m11.507s,0m0.088s
Sum,13,0m13.789s,0m13.788s,0m0.112s
Sum,14,0m11.887s,0m11.906s,0m0.092s
Sum,15,0m12.611s,0m12.605s,0m0.116s
Sum,16,0m12.272s,0m12.282s,0m0.100s
Sum,17,0m11.434s,0m11.420s,0m0.124s
Sum,18,0m11.429s,0m11.432s,0m0.108s
Sum,19,0m11.449s,0m11.462s,0m0.092s
Sum,20,0m11.866s,0m11.868s,0m0.108s
Sum,21,0m13.752s,0m13.769s,0m0.092s
Sum,22,0m13.362s,0m13.370s,0m0.100s
Sum,23,0m12.230s,0m12.215s,0m0.124s
Sum,24,0m11.959s,0m11.966s,0m0.104s
Sum,25,0m14.059s,0m14.066s,0m0.104s
Sum,26,0m11.280s,0m11.291s,0m0.100s
Sum,27,0m11.672s,0m11.691s,0m0.092s
Sum,28,0m11.872s,0m11.857s,0m0.124s
Sum,29,0m11.740s,0m11.728s,0m0.117s
Sum,30,0m12.002s,0m12.001s,0m0.112s
Sum,31,0m11.775s,0m11.773s,0m0.112s
Sum,32,0m11.785s,0m11.811s,0m0.084s
Sum,33,0m13.196s,0m13.166s,0m0.140s
Sum,34,0m13.122s,0m13.115s,0m0.116s
Sum,35,0m12.757s,0m12.758s,0m0.108s
Sum,36,0m12.141s,0m12.152s,0m0.096s
Sum,37,0m11.346s,0m11.336s,0m0.120s
Sum,38,0m12.434s,0m12.434s,0m0.108s
Sum,39,0m11.567s,0m11.565s,0m0.112s
Sum,40,0m11.580s,0m11.582s,0m0.108s
Sum,41,0m11.374s,0m11.379s,0m0.105s
Sum,42,0m14.596s,0m14.613s,0m0.092s
Sum,43,0m12.112s,0m12.126s,0m0.096s
Sum,44,0m11.659s,0m11.672s,0m0.096s
Sum,45,0m11.606s,0m11.620s,0m0.096s
Sum,46,0m11.908s,0m11.931s,0m0.088s
Sum,47,0m11.474s,0m11.503s,0m0.080s
Sum,48,0m13.978s,0m13.953s,0m0.132s
Sum,49,0m11.329s,0m11.331s,0m0.108s
Sum,50,0m11.720s,0m11.713s,0m0.116s
Sum,51,0m13.259s,0m13.281s,0m0.088s
Sum,52,0m11.334s,0m11.360s,0m0.084s
Sum,53,0m11.745s,0m11.760s,0m0.096s
Sum,54,0m11.525s,0m11.547s,0m0.088s
Sum,55,0m13.756s,0m13.761s,0m0.104s
Sum,56,0m11.740s,0m11.755s,0m0.096s
Sum,57,0m11.997s,0m11.976s,0m0.132s
Sum,58,0m12.135s,0m12.165s,0m0.080s
Sum,59,0m11.778s,0m11.788s,0m0.100s
Sum,60,0m11.596s,0m11.583s,0m0.124s
Sum,61,0m12.706s,0m12.671s,0m0.144s
Sum,62,0m16.312s,0m16.309s,0m0.112s
Sum,63,0m12.093s,0m12.087s,0m0.116s
Sum,64,0m11.519s,0m11.528s,0m0.100s
Sum,65,0m11.081s,0m11.088s,0m0.104s
Sum,66,0m13.868s,0m13.878s,0m0.100s
Sum,67,0m12.312s,0m12.342s,0m0.080s
Sum,68,0m13.321s,0m13.313s,0m0.112s
Sum,69,0m11.664s,0m11.665s,0m0.108s
Sum,70,0m11.125s,0m11.130s,0m0.104s
Sum,71,0m11.632s,0m11.623s,0m0.116s
Sum,72,0m11.297s,0m11.304s,0m0.104s
Sum,73,0m11.468s,0m11.479s,0m0.100s
Sum,74,0m11.323s,0m11.333s,0m0.100s
Sum,75,0m11.397s,0m11.411s,0m0.096s
Sum,76,0m11.384s,0m11.379s,0m0.108s
Sum,77,0m15.008s,0m15.018s,0m0.100s
Sum,78,0m13.570s,0m13.573s,0m0.108s
Sum,79,0m12.663s,0m12.685s,0m0.088s
Sum,80,0m11.469s,0m11.458s,0m0.120s
Sum,81,0m14.388s,0m14.369s,0m0.128s
Sum,82,0m12.184s,0m12.153s,0m0.140s
Sum,83,0m12.584s,0m12.587s,0m0.108s
Sum,84,0m11.301s,0m11.292s,0m0.120s
Sum,85,0m13.205s,0m13.203s,0m0.112s
Sum,86,0m11.586s,0m11.612s,0m0.084s
Sum,87,0m11.619s,0m11.617s,0m0.112s
Sum,88,0m14.055s,0m14.048s,0m0.116s
Sum,89,0m11.830s,0m11.853s,0m0.088s
Sum,90,0m12.777s,0m12.779s,0m0.108s
Sum,91,0m11.673s,0m11.703s,0m0.080s
Sum,92,0m11.699s,0m11.722s,0m0.088s
Sum,93,0m14.407s,0m14.410s,0m0.108s
Sum,94,0m11.372s,0m11.383s,0m0.100s
Sum,95,0m11.305s,0m11.304s,0m0.112s
Sum,96,0m12.188s,0m12.191s,0m0.108s
Sum,97,0m11.614s,0m11.608s,0m0.116s
Sum,98,0m11.520s,0m11.576s,0m0.052s
Sum,99,0m11.342s,0m11.323s,0m0.128s
Sum,100,0m11.272s,0m11.278s,0m0.104s
