Algorithm,Run,Real Time,User Time,Sys Time
avg Pooling,1,0m0.419s,0m0.399s,0m0.020s
avg Pooling,2,0m0.422s,0m0.398s,0m0.024s
avg Pooling,3,0m0.419s,0m0.399s,0m0.020s
avg Pooling,4,0m0.415s,0m0.399s,0m0.016s
avg Pooling,5,0m0.416s,0m0.395s,0m0.020s
avg Pooling,6,0m0.418s,0m0.402s,0m0.016s
avg Pooling,7,0m0.418s,0m0.393s,0m0.025s
avg Pooling,8,0m0.421s,0m0.397s,0m0.024s
avg Pooling,9,0m0.420s,0m0.388s,0m0.032s
avg Pooling,10,0m0.421s,0m0.397s,0m0.024s
avg Pooling,11,0m0.421s,0m0.393s,0m0.028s
avg Pooling,12,0m0.416s,0m0.396s,0m0.020s
avg Pooling,13,0m0.420s,0m0.399s,0m0.020s
avg Pooling,14,0m0.418s,0m0.381s,0m0.036s
avg Pooling,15,0m0.419s,0m0.394s,0m0.025s
avg Pooling,16,0m0.415s,0m0.398s,0m0.016s
avg Pooling,17,0m0.415s,0m0.379s,0m0.036s
avg Pooling,18,0m0.420s,0m0.399s,0m0.020s
avg Pooling,19,0m0.416s,0m0.391s,0m0.024s
avg Pooling,20,0m0.426s,0m0.406s,0m0.020s
avg Pooling,21,0m0.418s,0m0.402s,0m0.016s
avg Pooling,22,0m0.421s,0m0.396s,0m0.024s
avg Pooling,23,0m0.417s,0m0.393s,0m0.024s
avg Pooling,24,0m0.417s,0m0.381s,0m0.036s
avg Pooling,25,0m0.416s,0m0.400s,0m0.016s
avg Pooling,26,0m0.421s,0m0.376s,0m0.044s
avg Pooling,27,0m0.420s,0m0.400s,0m0.020s
avg Pooling,28,0m0.423s,0m0.411s,0m0.012s
avg Pooling,29,0m0.415s,0m0.382s,0m0.032s
avg Pooling,30,0m0.420s,0m0.408s,0m0.012s
avg Pooling,31,0m0.414s,0m0.394s,0m0.020s
avg Pooling,32,0m0.414s,0m0.389s,0m0.024s
avg Pooling,33,0m0.415s,0m0.399s,0m0.016s
avg Pooling,34,0m0.425s,0m0.409s,0m0.016s
avg Pooling,35,0m0.414s,0m0.402s,0m0.012s
avg Pooling,36,0m0.417s,0m0.389s,0m0.028s
avg Pooling,37,0m0.416s,0m0.396s,0m0.020s
avg Pooling,38,0m0.421s,0m0.384s,0m0.036s
avg Pooling,39,0m0.418s,0m0.389s,0m0.029s
avg Pooling,40,0m0.417s,0m0.404s,0m0.012s
avg Pooling,41,0m0.420s,0m0.395s,0m0.024s
avg Pooling,42,0m0.418s,0m0.394s,0m0.024s
avg Pooling,43,0m0.419s,0m0.398s,0m0.021s
avg Pooling,44,0m0.418s,0m0.397s,0m0.020s
avg Pooling,45,0m0.417s,0m0.401s,0m0.016s
avg Pooling,46,0m0.420s,0m0.391s,0m0.028s
avg Pooling,47,0m0.419s,0m0.399s,0m0.020s
avg Pooling,48,0m0.419s,0m0.387s,0m0.032s
avg Pooling,49,0m0.417s,0m0.389s,0m0.028s
avg Pooling,50,0m0.416s,0m0.392s,0m0.024s
avg Pooling,51,0m0.419s,0m0.391s,0m0.028s
avg Pooling,52,0m0.417s,0m0.400s,0m0.016s
avg Pooling,53,0m0.415s,0m0.395s,0m0.020s
avg Pooling,54,0m0.417s,0m0.392s,0m0.024s
avg Pooling,55,0m0.418s,0m0.378s,0m0.041s
avg Pooling,56,0m0.413s,0m0.393s,0m0.020s
avg Pooling,57,0m0.419s,0m0.386s,0m0.032s
avg Pooling,58,0m0.420s,0m0.383s,0m0.036s
avg Pooling,59,0m0.423s,0m0.406s,0m0.016s
avg Pooling,60,0m0.419s,0m0.402s,0m0.017s
avg Pooling,61,0m0.422s,0m0.390s,0m0.032s
avg Pooling,62,0m0.422s,0m0.405s,0m0.016s
avg Pooling,63,0m0.420s,0m0.392s,0m0.028s
avg Pooling,64,0m0.419s,0m0.387s,0m0.033s
avg Pooling,65,0m0.417s,0m0.397s,0m0.020s
avg Pooling,66,0m0.424s,0m0.404s,0m0.020s
avg Pooling,67,0m0.417s,0m0.385s,0m0.032s
avg Pooling,68,0m0.422s,0m0.390s,0m0.032s
avg Pooling,69,0m0.425s,0m0.396s,0m0.028s
avg Pooling,70,0m0.417s,0m0.401s,0m0.016s
avg Pooling,71,0m0.418s,0m0.401s,0m0.016s
avg Pooling,72,0m0.418s,0m0.389s,0m0.028s
avg Pooling,73,0m0.417s,0m0.380s,0m0.037s
avg Pooling,74,0m0.422s,0m0.401s,0m0.020s
avg Pooling,75,0m0.419s,0m0.379s,0m0.040s
avg Pooling,76,0m0.420s,0m0.384s,0m0.036s
avg Pooling,77,0m0.416s,0m0.391s,0m0.024s
avg Pooling,78,0m0.419s,0m0.411s,0m0.008s
avg Pooling,79,0m0.419s,0m0.402s,0m0.016s
avg Pooling,80,0m0.416s,0m0.400s,0m0.016s
avg Pooling,81,0m0.416s,0m0.387s,0m0.028s
avg Pooling,82,0m0.420s,0m0.388s,0m0.032s
avg Pooling,83,0m0.420s,0m0.400s,0m0.020s
avg Pooling,84,0m0.422s,0m0.409s,0m0.012s
avg Pooling,85,0m0.422s,0m0.394s,0m0.028s
avg Pooling,86,0m0.416s,0m0.388s,0m0.028s
avg Pooling,87,0m0.419s,0m0.391s,0m0.028s
avg Pooling,88,0m0.416s,0m0.400s,0m0.016s
avg Pooling,89,0m0.417s,0m0.385s,0m0.032s
avg Pooling,90,0m0.420s,0m0.391s,0m0.028s
avg Pooling,91,0m0.420s,0m0.403s,0m0.016s
avg Pooling,92,0m0.419s,0m0.391s,0m0.028s
avg Pooling,93,0m0.418s,0m0.398s,0m0.020s
avg Pooling,94,0m0.419s,0m0.383s,0m0.036s
avg Pooling,95,0m0.420s,0m0.396s,0m0.024s
avg Pooling,96,0m0.419s,0m0.399s,0m0.020s
avg Pooling,97,0m0.417s,0m0.389s,0m0.028s
avg Pooling,98,0m0.415s,0m0.383s,0m0.032s
avg Pooling,99,0m0.415s,0m0.387s,0m0.028s
avg Pooling,100,0m0.417s,0m0.381s,0m0.036s
