Algorithm,Run,Real Time,User Time,Sys Time
min Pooling,1,0m0.432s,0m0.408s,0m0.024s
min Pooling,2,0m0.431s,0m0.407s,0m0.024s
min Pooling,3,0m0.432s,0m0.408s,0m0.024s
min Pooling,4,0m0.431s,0m0.403s,0m0.028s
min Pooling,5,0m0.432s,0m0.404s,0m0.028s
min Pooling,6,0m0.431s,0m0.419s,0m0.012s
min Pooling,7,0m0.433s,0m0.384s,0m0.048s
min Pooling,8,0m0.434s,0m0.402s,0m0.033s
min Pooling,9,0m0.431s,0m0.411s,0m0.020s
min Pooling,10,0m0.433s,0m0.416s,0m0.016s
min Pooling,11,0m0.432s,0m0.403s,0m0.028s
min Pooling,12,0m0.430s,0m0.398s,0m0.032s
min Pooling,13,0m0.434s,0m0.417s,0m0.016s
min Pooling,14,0m0.433s,0m0.396s,0m0.036s
min Pooling,15,0m0.435s,0m0.406s,0m0.028s
min Pooling,16,0m0.432s,0m0.407s,0m0.024s
min Pooling,17,0m0.431s,0m0.402s,0m0.028s
min Pooling,18,0m0.431s,0m0.419s,0m0.012s
min Pooling,19,0m0.430s,0m0.414s,0m0.016s
min Pooling,20,0m0.431s,0m0.423s,0m0.008s
min Pooling,21,0m0.430s,0m0.402s,0m0.028s
min Pooling,22,0m0.427s,0m0.411s,0m0.016s
min Pooling,23,0m0.426s,0m0.410s,0m0.016s
min Pooling,24,0m0.426s,0m0.405s,0m0.021s
min Pooling,25,0m0.430s,0m0.402s,0m0.028s
min Pooling,26,0m0.435s,0m0.415s,0m0.020s
min Pooling,27,0m0.432s,0m0.420s,0m0.012s
min Pooling,28,0m0.431s,0m0.411s,0m0.020s
min Pooling,29,0m0.432s,0m0.424s,0m0.008s
min Pooling,30,0m0.435s,0m0.407s,0m0.028s
min Pooling,31,0m0.428s,0m0.408s,0m0.020s
min Pooling,32,0m0.433s,0m0.409s,0m0.024s
min Pooling,33,0m0.430s,0m0.394s,0m0.036s
min Pooling,34,0m0.430s,0m0.398s,0m0.032s
min Pooling,35,0m0.427s,0m0.407s,0m0.020s
min Pooling,36,0m0.430s,0m0.414s,0m0.016s
min Pooling,37,0m0.432s,0m0.412s,0m0.020s
min Pooling,38,0m0.431s,0m0.411s,0m0.020s
min Pooling,39,0m0.430s,0m0.414s,0m0.016s
min Pooling,40,0m0.436s,0m0.416s,0m0.020s
min Pooling,41,0m0.431s,0m0.391s,0m0.040s
min Pooling,42,0m0.430s,0m0.398s,0m0.032s
min Pooling,43,0m0.431s,0m0.407s,0m0.024s
min Pooling,44,0m0.434s,0m0.414s,0m0.020s
min Pooling,45,0m0.435s,0m0.411s,0m0.024s
min Pooling,46,0m0.434s,0m0.405s,0m0.028s
min Pooling,47,0m0.433s,0m0.409s,0m0.024s
min Pooling,48,0m0.438s,0m0.429s,0m0.008s
min Pooling,49,0m0.431s,0m0.410s,0m0.020s
min Pooling,50,0m0.431s,0m0.411s,0m0.020s
min Pooling,51,0m0.433s,0m0.408s,0m0.024s
min Pooling,52,0m0.432s,0m0.412s,0m0.020s
min Pooling,53,0m0.427s,0m0.419s,0m0.008s
min Pooling,54,0m0.427s,0m0.403s,0m0.024s
